system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	sh_x	median_x	q90_x	frac>0_x	variance_x	std_x	n_y	sh_y	median_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	system_name	pct_change	abs_pct_change
Blood	B_M18	B_M7	Monocytes	Conventional dendritic cells	Developmental progression	190	205	151	61	29268	-0.0747154647080123	-0.100413366953532	-0.0291513586044312	0.0705890392237255	0.0182218089136221	0.134988180644167	4582	-0.0671799229205339	-0.102128003438314	-0.0355232308705647	0.0683107813182016	0.0264814939920354	0.162731355282365	0.0075355417874783	0.0075355417874783	0.0504033815640016	Blood	NA	NA
Blood	B_M11	B_M10	Hematopoietic stem cells (Cd34+)	Granulocytes	Developmental progression	183	182	111	106	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	3547	-0.0540243284015119	-0.0867665354410807	-0.0168947381973266	0.0817592331547786	0.0215051368156175	0.146646298335886	0.0323587786524049	-0.0323587786524049	-0.182548752915048	Blood	NA	NA
Blood	B_M18	B_M2	Monocytes	Adipose tissue macrophages	Developmental progression	190	192	151	8	29268	-0.0747154647080123	-0.100413366953532	-0.0291513586044312	0.0705890392237255	0.0182218089136221	0.134988180644167	4190	-0.0686311051380852	-0.090851551691691	-0.0217317730585734	0.0568019093078758	0.017333559961248	0.131656978399354	0.0060843595699271	0.0060843595699271	0.04563281656975	Blood	NA	NA
Blood	B_M11	B_M14	Hematopoietic stem cells (Cd34+)	Mast cells	Developmental progression	183	186	111	137	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	23828	0.0096981945814159	-0.0666443125406901	0.377705581823985	0.176389122041296	0.0494245022850062	0.222316221371735	0.0313637443305229	0.0313637443305229	0.147227908405515	Blood	NA	NA
Blood	B_M11	B_M27	Hematopoietic stem cells (Cd34+)	T-NK progenitors	Developmental progression	183	200	111	248	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	1901	-0.0262751244503678	-0.0899107678731282	0.28148189385732	0.158863755917938	0.0372806157119752	0.193081888617175	0.0046095747012607	-0.0046095747012607	-0.0232495044934641	Blood	NA	NA
Blood	B_M5	B_M21	Border-associated macrophages	Osteoclasts	Developmental progression	203	194	36	183	65191	-0.0428894282681379	-0.0711910947163899	-0.0174603160222371	0.0577993894862787	0.0216704989814881	0.147209031589397	3323	-0.0414614146409152	-0.0991115442911783	0.221400226910909	0.18086066807102	0.0329139709870672	0.18142207965699	0.0014280136272227	0.0014280136272227	0.0086439610427068	Blood	NA	NA
Blood	B_M11	B_M25	Hematopoietic stem cells (Cd34+)	Regulatory T cells	Developmental progression	183	198	111	213	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	9800	0.0008719443543427	-0.0859500376383463	0.404383331775665	0.185918367346939	0.0555656378831123	0.235723647271784	0.0225374941034497	0.0225374941034497	0.102388462940938	Blood	NA	NA
Blood	B_M15	B_M16	Megakaryocyte-erythroid progenitors	Megakaryocytes	Developmental progression	187	188	138	139	13436	0.0170045965121203	-0.0950595347086588	0.398443210919698	0.299866031557011	0.0557985721985432	0.236217214018249	14777	-0.0381247526756955	-0.0852441533406575	0.191660709063212	0.140556269878866	0.0275975763367616	0.166125182729054	0.0551293491878158	-0.0551293491878158	-0.269975818377783	Blood	NA	NA
Blood	B_M27	B_M20	T-NK progenitors	Natural killer cells	Developmental progression	200	193	248	165	1901	-0.0262751244503678	-0.0899107678731282	0.28148189385732	0.158863755917938	0.0372806157119752	0.193081888617175	2961	-0.0556749092422733	-0.0986257680257161	-0.0236829217274983	0.0847686592367443	0.0343696297636838	0.185390479161374	0.0293997847919055	-0.0293997847919055	-0.155328199414583	Blood	NA	NA
Brain_spinal_cord	BS_M34	BS_M28	Floorplate and p3 domain	Multiciliated ependymal cells	Developmental progression	235	228	95	154	44992	0.3423115149509	0.340360816319783	1.05843235397339	0.665184921763869	0.31098009001451	0.557655888532086	10452	-0.0267291244863323	-0.211430034637451	0.552139702161153	0.383275928052047	0.165668579609862	0.407024052864031	0.369041	-0.369041	-0.7559	Brain_spinal_cord	-107.81	107.81
Brain_spinal_cord	BS_M27	BS_M34	Midbrain-hindbrain boundary	Floorplate and p3 domain	Developmental progression	227	235	149	95	66071	-0.0164505061721766	-0.197997894287109	0.56727040608724	0.402309636603048	0.173714632375995	0.416790873671671	44992	0.3423115149509	0.340360816319783	1.05843235397339	0.665184921763869	0.31098009001451	0.557655888532086	0.358762	0.358762	0.7288	Brain_spinal_cord	-2180.86	2180.86
Brain_spinal_cord	BS_M14	BS_M55	Diencephalon	Thalamic neuronal precursors	Developmental progression	213	258	76	250	78021	0.1054517548544	-0.0318214035034179	0.777690200805664	0.489252893451763	0.243918009969666	0.493880562453784	81788	-0.222155036128295	-0.29058359781901	0.0842006789843242	0.127439233139336	0.0450829095109497	0.212327364018277	0.327607	-0.327607	-0.8618	Brain_spinal_cord	-310.67	310.67
Brain_spinal_cord	BS_M20	BS_M2	Hindbrain	Anterior roof plate	Developmental progression	220	219	115	23	197367	0.103053345427093	-0.0550983460744221	0.766168398539225	0.485871498274788	0.244167442165087	0.494133020719206	16098	-0.20591600948211	-0.295965830485026	0.208922461191813	0.178345136041744	0.069927041163656	0.264437215920256	0.308969	-0.308969	-0.7797	Brain_spinal_cord	-299.81	299.81
Brain_spinal_cord	BS_M25	BS_M23	Midbrain	Hypothalamus (Sim1+)	Developmental progression	225	223	147	120	145124	-0.07517710412365	-0.253164393107096	0.513633473396301	0.280918387034536	0.170816608134441	0.413299659005957	14611	0.225904309727248	0.234388628005981	0.840341040293376	0.63657518308124	0.238700008931474	0.488569349152681	0.301081	0.301081	0.6654	Brain_spinal_cord	-400.5	400.5
Brain_spinal_cord	BS_M54	BS_M3	Telencephalon	Astrocytes	Developmental progression	257	230	249	27	430409	-0.100109493896111	-0.284858779907227	0.516481998443604	0.272419954043712	0.186895615107366	0.43231425503604	109750	0.197301361809794	0.197930423418681	0.811021277109782	0.598451025056948	0.234251399740488	0.483995247642462	0.297411	0.297411	0.6481	Brain_spinal_cord	-297.09	297.09
Brain_spinal_cord	BS_M3	BS_M33	Astrocytes	Oligodendrocyte progenitor cells	Developmental progression	230	234	27	180	109750	0.197301361809794	0.197930423418681	0.811021277109782	0.598451025056948	0.234251399740488	0.483995247642462	29522	-0.0946420630863321	-0.214361572265625	0.372118072191874	0.272542510670009	0.0898005677995498	0.299667428659756	0.291943	-0.291943	-0.7253	Brain_spinal_cord	-147.97	147.97
