id	meta_group	celltype_new	system	sh
169	L_M24	Somatic mesoderm	Lateral_plate_mesoderm	-0.255581844008386
170	L_M25	Splanchnic mesoderm	Lateral_plate_mesoderm	0.118964544088056
171	L_M26	Vascular smooth muscle cells	Lateral_plate_mesoderm	-0.22702961805096
172	L_M27	Vascular smooth muscle cells (Pparg+)	Lateral_plate_mesoderm	-0.263257671948774
173	L_M28	Ventricular cardiomyocytes	Lateral_plate_mesoderm	-0.235010353801613
174	L_M3	Allantois	Lateral_plate_mesoderm	-0.0273690205190203
175	L_M4	Amniotic mesoderm	Lateral_plate_mesoderm	0
176	L_M5	Atrial cardiomyocytes	Lateral_plate_mesoderm	-0.269444517286532
177	L_M6	Cardiopharyngeal mesoderm	Lateral_plate_mesoderm	0
178	L_M7	Extraembryonic mesoderm	Lateral_plate_mesoderm	-0.0923274543435164
179	L_M8	First heart field	Lateral_plate_mesoderm	-0.226835129141892
180	L_M9	Foregut mesenchyme	Lateral_plate_mesoderm	0.422870521251567
181	B_M1	Activated T cells	Blood	-0.0297947386961199
182	B_M10	Granulocytes	Blood	-0.0540243284015119
183	B_M11	Hematopoietic stem cells (Cd34+)	Blood	-0.021665549749107
184	B_M12	Hematopoietic stem cells (Mpo+)	Blood	-0.0502673521867971
185	B_M13	Kupffer cells	Blood	-0.0577729128549355
186	B_M14	Mast cells	Blood	0.0096981945814159
187	B_M15	Megakaryocyte-erythroid progenitors	Blood	0.0170045965121203
188	B_M16	Megakaryocytes	Blood	-0.0381247526756955
189	B_M17	Microglia	Blood	-0.0430267996422233
190	B_M18	Monocytes	Blood	-0.0747154647080123
191	B_M19	Monocytic myeloid-derived suppressor cells	Blood	-0.0684136497151592
192	B_M2	Adipose tissue macrophages	Blood	-0.0686311051380852
193	B_M20	Natural killer cells	Blood	-0.0556749092422733
194	B_M21	Osteoclasts	Blood	-0.0414614146409152
195	B_M22	Plasmacytoid dendritic cells	Blood	0.0131808687382454
196	B_M23	PMN myeloid-derived suppressor cells	Blood	-0.0558068342634694
197	B_M24	Primitive erythroid cells	Blood	0
198	B_M25	Regulatory T cells	Blood	0.0008719443543427
199	B_M26	T cells	Blood	-0.0222611683199682
