system	meta_group	celltype_new	celltype_num	id	new_id
Brain_spinal_cord	BS_M49	Spinal V2a interneurons	11065	251	227
Brain_spinal_cord	BS_M50	Spinal V2b interneurons	8575	253	228
Brain_spinal_cord	BS_M51	Spinal V3 interneurons	4440	254	229
Gastrulation	Ga_M35	Spinal cord	2150	51	230
Brain_spinal_cord	BS_M37	Spinal cord dorsal progenitors (after E13.0)	8358	238	231
Brain_spinal_cord	BS_M38	Spinal cord motor neurons	31680	239	232
Brain_spinal_cord	BS_M39	Spinal cord ventral progenitors (after E13.0)	2021	240	233
Brain_spinal_cord	BS_M40	Spinal cord/r7/r8	395636	242	234
Brain_spinal_cord	BS_M41	Spinal dI1 interneurons	35714	243	235
Brain_spinal_cord	BS_M42	Spinal dI2 interneurons	21843	244	236
Brain_spinal_cord	BS_M43	Spinal dI3 interneurons	5430	245	237
Brain_spinal_cord	BS_M44	Spinal dI4 interneurons	38632	246	238
Brain_spinal_cord	BS_M45	Spinal dI5 interneurons	39157	247	239
Brain_spinal_cord	BS_M46	Spinal dI6 interneurons	10964	248	240
Lateral_plate_mesoderm	L_M25	Splanchnic mesoderm	127703	170	241
Brain_spinal_cord	BS_M52	Striatal projection neurons	6235	255	242
Brain_spinal_cord	BS_M53	Subplate neurons	103397	256	243
Eye	Ey_M18	Suprachiasmatic nucleus	6017	100	244
Gastrulation	Ga_M36	Surface ectoderm	2795	52	245
PNS_neurons	PN_M8	Sympathetic neurons	18369	138	246
Blood	B_M26	T cells	70028	199	247
Blood	B_M27	T-NK progenitors	1901	200	248
Brain_spinal_cord	BS_M54	Telencephalon	430409	257	249
Brain_spinal_cord	BS_M55	Thalamic neuronal precursors	81788	258	250
Epithelial_cells	Ep_M24	Thymic epithelial cells	1937	81	251
Epithelial_cells	Ep_M25	Thyroid gland cells	1578	82	252
Epithelial_cells	Ep_M26	Tooth junctional epithelium	2918	83	253
Pre_gastrulation	PGa_M8	Trophectoderm	0	8	254
Brain_spinal_cord	BS_M56	Upper-layer neurons	238829	259	255
Renal	R_M13	Ureteric bud	5851	143	256
Renal	R_M14	Ureteric bud stalk	401	144	257
Lateral_plate_mesoderm	L_M26	Vascular smooth muscle cells	24161	171	258
Lateral_plate_mesoderm	L_M27	Vascular smooth muscle cells (Pparg+)	11440	172	259
Endothelium	En_M12	Venous and capillary endothelial cells	59523	56	260
Lateral_plate_mesoderm	L_M28	Ventricular cardiomyocytes	3735	173	261
Pre_gastrulation	PGa_M12	Visceral endoderm	120	12	262
