system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change,system_name
Blood,B_M11,B_M27,Hematopoietic stem cells (Cd34+),T-NK progenitors,Developmental progression,183.0,200.0,166,182,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,1901,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653,0.001905,-0.001905,-0.0374,-12.06,12.06,Blood
Blood,B_M5,B_M21,Border-associated macrophages,Osteoclasts,Developmental progression,203.0,194.0,185,177,65191,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498,3323,0.0,0.0126250041796234,0.0,0.0902798675895275,0.0022656184166791,0.0475985127570084,0.004855,0.004855,0.1108,62.49,62.49,Blood
Blood,B_M11,B_M25,Hematopoietic stem cells (Cd34+),Regulatory T cells,Developmental progression,183.0,198.0,166,180,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,9800,0.0,0.0239902040816326,0.116688888888889,0.1465306122448979,0.0044051856007314,0.0663715722333846,0.008189,0.008189,0.1368,51.82,51.82,Blood
Blood,B_M15,B_M16,Megakaryocyte-erythroid progenitors,Megakaryocytes,Developmental progression,187.0,188.0,170,171,13436,0.0,0.0264352485858886,0.1267222222222222,0.1839833283715391,0.0044750089015404,0.0668955073345019,14777,0.0,0.0108026813441308,0.0,0.0793801177505583,0.0018940326034832,0.0435204848718761,0.015633,-0.015633,-0.277,-59.14,59.14,Blood
Blood,B_M27,B_M20,T-NK progenitors,Natural killer cells,Developmental progression,200.0,193.0,182,176,1901,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653,2961,0.0,0.0126941723892078,0.0,0.0732860520094562,0.002553474797901,0.0505319186049866,0.001202,-0.001202,-0.0241,-8.65,8.65,Blood
Brain_spinal_cord,BS_M54,BS_M15,Telencephalon,Dorsal telencephalon,Developmental progression,257.0,214.0,237,196,430409,0.0,0.1093734411646474,0.3223005968529571,0.302681867711874,0.0334671402664523,0.1829402642024229,30144,0.0,0.0750209448616616,0.2977030204376921,0.2468816348195329,0.0184601839416799,0.1358682595078037,0.034352,-0.034352,-0.2132,-31.41,31.41,Brain_spinal_cord
Brain_spinal_cord,BS_M20,BS_M34,Hindbrain,Floorplate and p3 domain,Developmental progression,220.0,235.0,34,215,197367,0.2676795080484717,0.1944043477067215,0.5523602821486706,0.5204365471431395,0.0454577152440473,0.2132081500413323,44992,0.3047567372038343,0.2578311022098147,0.6008319768493399,0.6822546230440967,0.0452450328957174,0.2127087983505087,0.063427,0.063427,0.2978,32.63,32.63,Brain_spinal_cord
Brain_spinal_cord,BS_M25,BS_M23,Midbrain,Hypothalamus (Sim1+),Developmental progression,225.0,223.0,37,204,145124,0.0,0.1111955629150967,0.3219388677880267,0.3047669579118547,0.0340947598805358,0.1846476641621436,14611,0.2986073431000181,0.2415497264385263,0.5756918068366793,0.6625829854219424,0.0409451427936319,0.2023490617562431,0.130354,0.130354,0.673,117.23,117.23,Brain_spinal_cord
Brain_spinal_cord,BS_M40,BS_M35,Spinal cord/r7/r8,Posterior roof plate,Developmental progression,242.0,236.0,222,216,395636,0.2801591607885694,0.2003485609844605,0.5545306565382528,0.5359269631681647,0.045215830352988,0.2126401428540434,11623,0.0,0.1877154593675138,0.5532646048109966,0.4951389486363245,0.047717405826588,0.2184431409465355,0.012633,-0.012633,-0.0586,-6.31,6.31,Brain_spinal_cord
Brain_spinal_cord,BS_M40,BS_M34,Spinal cord/r7/r8,Floorplate and p3 domain,Developmental progression,242.0,235.0,222,215,395636,0.2801591607885694,0.2003485609844605,0.5545306565382528,0.5359269631681647,0.045215830352988,0.2126401428540434,44992,0.3047567372038343,0.2578311022098147,0.6008319768493399,0.6822546230440967,0.0452450328957174,0.2127087983505087,0.057483,0.057483,0.2703,28.69,28.69,Brain_spinal_cord
