system	meta_group	celltype_new	sh_w	id
Brain_spinal_cord	BS_M15	Dorsal telencephalon	0.0750209448616616	214
Brain_spinal_cord	BS_M16	Ependymal cells	0.0478373648942709	215
Brain_spinal_cord	BS_M17	GABAergic cortical interneurons	0.0686051464367104	216
Brain_spinal_cord	BS_M18	GABAergic neurons (after E13.0)	0.0665618987890793	217
Brain_spinal_cord	BS_M19	Glutamatergic neurons (after E13.0)	0.0596380055049316	218
Brain_spinal_cord	BS_M2	Anterior roof plate	0.0683586702095352	219
Brain_spinal_cord	BS_M20	Hindbrain	0.194404347706721	220
Brain_spinal_cord	BS_M21	Hypothalamic Sim1 neurons	0.115590498858093	221
Brain_spinal_cord	BS_M22	Hypothalamus	0.288575040460044	222
Brain_spinal_cord	BS_M23	Hypothalamus (Sim1+)	0.241549726438526	223
Brain_spinal_cord	BS_M24	Intermediate neuronal progenitors	0.0222655770287976	224
Brain_spinal_cord	BS_M25	Midbrain	0.111195562915097	225
Brain_spinal_cord	BS_M26	Midbrain dopaminergic neurons	0.0951567671212429	226
Brain_spinal_cord	BS_M27	Midbrain-hindbrain boundary	0.169063178523438	227
Brain_spinal_cord	BS_M28	Multiciliated ependymal cells	0.132780523277847	228
Brain_spinal_cord	BS_M29	Neural progenitor cells (Neurod1+)	0.150347214044974	229
Brain_spinal_cord	BS_M3	Astrocytes	0.218771390114909	230
Brain_spinal_cord	BS_M30	Neural progenitor cells (Ror1+)	0.0922267155414433	231
Brain_spinal_cord	BS_M31	NMPs and spinal cord progenitors	0.286019186450505	232
Brain_spinal_cord	BS_M32	Neurons (Slc17a8+)	0.141902440321808	233
Brain_spinal_cord	BS_M33	Oligodendrocyte progenitor cells	0.0846382603363418	234
Brain_spinal_cord	BS_M34	Floorplate and p3 domain	0.257831102209815	235
Brain_spinal_cord	BS_M35	Posterior roof plate	0.187715459367514	236
Brain_spinal_cord	BS_M36	Precerebellar neurons	0.0874845460209683	237
Brain_spinal_cord	BS_M37	Spinal cord dorsal progenitors (after E13.0)	NA	238
Brain_spinal_cord	BS_M38	Spinal cord motor neurons	0.129057282206927	239
Brain_spinal_cord	BS_M39	Spinal cord ventral progenitors (after E13.0)	NA	240
Brain_spinal_cord	BS_M4	Cajal-Retzius cells	0.0355346151882381	241
Brain_spinal_cord	BS_M40	Spinal cord/r7/r8	0.20034856098446	242
Brain_spinal_cord	BS_M41	Spinal dI1 interneurons	0.0653231093356633	243
Brain_spinal_cord	BS_M42	Spinal dI2 interneurons	0.0751345889529104	244
Brain_spinal_cord	BS_M43	Spinal dI3 interneurons	0.0919675276388332	245
Brain_spinal_cord	BS_M44	Spinal dI4 interneurons	0.0685788652515395	246
Brain_spinal_cord	BS_M45	Spinal dI5 interneurons	0.0908732471376854	247
Brain_spinal_cord	BS_M46	Spinal dI6 interneurons	0.0998397609267841	248
Brain_spinal_cord	BS_M47	Spinal V0 interneurons	0.113979929831958	249
Brain_spinal_cord	BS_M48	Spinal V1 interneurons	0.158891732397451	250
Brain_spinal_cord	BS_M49	Spinal V2a interneurons	0.126678959004791	251
Brain_spinal_cord	BS_M5	Cerebellar Purkinje cells	0.031021598872637	252
Brain_spinal_cord	BS_M50	Spinal V2b interneurons	0.0985949269297624	253
Brain_spinal_cord	BS_M51	Spinal V3 interneurons	0.192935423593941	254
Brain_spinal_cord	BS_M52	Striatal projection neurons	0.0600005944867049	255
Brain_spinal_cord	BS_M53	Subplate neurons	0.0298443689629836	256
Brain_spinal_cord	BS_M54	Telencephalon	0.109373441164647	257
Brain_spinal_cord	BS_M55	Thalamic neuronal precursors	0.0449708244819441	258
Brain_spinal_cord	BS_M56	Upper-layer neurons	0.0186351884516241	259
Brain_spinal_cord	BS_M6	Cerebellum-related cells	0.221606887928188	260
Brain_spinal_cord	BS_M7	Choroid plexus	0.090335119315514	261
Brain_spinal_cord	BS_M8	Committed oligodendrocyte precursors	0.0964004078907364	262
Brain_spinal_cord	BS_M9	Cortical Interneurons (Prox1+)	0.03421632528649	263
Mesoderm	M_M1	Adipocyte cells (Cyp2e1+)	0.0291599429378469	264
Mesoderm	M_M10	Fibroblasts	0.104950915147271	265
Mesoderm	M_M11	Mesodermal progenitors (Tbx6+)	0.203653567390066	266
Mesoderm	M_M12	Muscle progenitor cells	0.175475743225531	267
Mesoderm	M_M13	Muscle progenitor cells (Prdm1+)	0.11767405743322	268
Mesoderm	M_M14	Myoblasts	0.0770520506242563	269
Mesoderm	M_M15	Myofibroblasts	0.0397253035113405	270
