"system"	"x"	"y"	"x_name"	"y_name"	"edge_type"	"x_number"	"y_number"	"x_id"	"y_id"
"Gastrulation_E8.5b"	"Ga_M36"	"Ep_M22"	"Surface ectoderm"	"Pre-epidermal keratinocytes"	"Dataset equivalence"	52	79	245	205
"Gastrulation_E8.5b"	"Ga_M33"	"B_M24"	"Primitive erythroid cells"	"Primitive erythroid cells"	"Dataset equivalence"	49	197	208	208
"Gastrulation_E8.5b"	"Ga_M34"	"Ep_M23"	"Primordial germ cells"	"Primordial germ cells"	"Dataset equivalence"	50	80	210	210
"Gastrulation_E8.5b"	"Ga_M25"	"R_M10"	"Intermediate mesoderm"	"Posterior intermediate mesoderm"	"Dataset equivalence"	41	140	122	203
"Gastrulation_E8.5b"	"Ga_M32"	"M_M18"	"Paraxial mesoderm (Tbx6-)"	"Sclerotome"	"Dataset equivalence"	48	273	193	221
"Gastrulation_E8.5b"	"Ga_M12"	"L_M22"	"Cardiogenic mesoderm"	"Second heart field"	"Dataset equivalence"	28	167	44	222
"Gastrulation_E8.5b"	"Ga_M26"	"L_M22"	"Lateral plate mesoderm"	"Second heart field"	"Dataset equivalence"	42	167	128	222
"Gastrulation_E8.5b"	"Ga_M26"	"L_M24"	"Lateral plate mesoderm"	"Somatic mesoderm"	"Dataset equivalence"	42	169	128	224
"Gastrulation_E8.5b"	"Ga_M35"	"BS_M40"	"Spinal cord"	"Spinal cord/r7/r8"	"Dataset equivalence"	51	242	230	234
"Gastrulation_E8.5b"	"Ga_M26"	"L_M25"	"Lateral plate mesoderm"	"Splanchnic mesoderm"	"Dataset equivalence"	42	170	128	241
"Gastrulation_E8.5b"	"Ga_M20"	"BS_M54"	"Forebrain"	"Telencephalon"	"Dataset equivalence"	36	257	96	249
"Notochord"	"No_M1"	"No_M2"	"Notochord"	"Ciliated nodal cells"	"Developmental progression"	282	283	174	53
"Blood"	"B_M8"	"B_M9"	"Definitive early erythroblasts (CD36-)"	"Definitive erythroblasts (CD36+)"	"Developmental progression"	206	207	67	70
"Blood"	"B_M11"	"B_M18"	"Hematopoietic stem cells (Cd34+)"	"Monocytes"	"Developmental progression"	183	190	111	151
"Blood"	"B_M19"	"B_M23"	"Monocytic myeloid-derived suppressor cells"	"PMN myeloid-derived suppressor cells"	"Developmental progression"	191	196	152	186
"Blood"	"B_M25"	"B_M26"	"Regulatory T cells"	"T cells"	"Developmental progression"	198	199	213	247
"Blood"	"B_M26"	"B_M1"	"T cells"	"Activated T cells"	"Developmental progression"	199	181	247	5
"Blood"	"B_M15"	"B_M8"	"Megakaryocyte-erythroid progenitors"	"Definitive early erythroblasts (CD36-)"	"Developmental progression"	187	206	138	67
"Blood"	"B_M5"	"B_M17"	"Border-associated macrophages"	"Microglia"	"Developmental progression"	203	189	36	145
"Blood"	"B_M11"	"B_M5"	"Hematopoietic stem cells (Cd34+)"	"Border-associated macrophages"	"Developmental progression"	183	203	111	36
"Blood"	"B_M12"	"B_M19"	"Hematopoietic stem cells (Mpo+)"	"Monocytic myeloid-derived suppressor cells"	"Developmental progression"	184	191	112	152
"Blood"	"B_M11"	"B_M12"	"Hematopoietic stem cells (Cd34+)"	"Hematopoietic stem cells (Mpo+)"	"Developmental progression"	183	184	111	112
"Blood"	"B_M11"	"B_M7"	"Hematopoietic stem cells (Cd34+)"	"Conventional dendritic cells"	"Developmental progression"	183	205	111	61
"Blood"	"B_M3"	"B_M4"	"B cell progenitors"	"B cells"	"Developmental progression"	201	202	29	30
"Blood"	"B_M11"	"B_M8"	"Hematopoietic stem cells (Cd34+)"	"Definitive early erythroblasts (CD36-)"	"Developmental progression"	183	206	111	67
"Blood"	"B_M5"	"B_M13"	"Border-associated macrophages"	"Kupffer cells"	"Developmental progression"	203	185	36	127
"Blood"	"B_M27"	"B_M26"	"T-NK progenitors"	"T cells"	"Developmental progression"	200	199	248	247
"Blood"	"B_M27"	"B_M25"	"T-NK progenitors"	"Regulatory T cells"	"Developmental progression"	200	198	248	213
"Blood"	"B_M5"	"B_M6"	"Border-associated macrophages"	"Border-associated macrophages (Ms4a8a+)"	"Developmental progression"	203	204	36	37
"Blood"	"B_M11"	"B_M3"	"Hematopoietic stem cells (Cd34+)"	"B cell progenitors"	"Developmental progression"	183	201	111	29
"Blood"	"B_M11"	"B_M15"	"Hematopoietic stem cells (Cd34+)"	"Megakaryocyte-erythroid progenitors"	"Developmental progression"	183	187	111	138
"Blood"	"B_M11"	"B_M22"	"Hematopoietic stem cells (Cd34+)"	"Plasmacytoid dendritic cells"	"Developmental progression"	183	195	111	201
"Blood"	"B_M18"	"B_M7"	"Monocytes"	"Conventional dendritic cells"	"Developmental progression"	190	205	151	61
"Blood"	"B_M11"	"B_M10"	"Hematopoietic stem cells (Cd34+)"	"Granulocytes"	"Developmental progression"	183	182	111	106
"Blood"	"B_M18"	"B_M2"	"Monocytes"	"Adipose tissue macrophages"	"Developmental progression"	190	192	151	8
"Blood"	"B_M11"	"B_M14"	"Hematopoietic stem cells (Cd34+)"	"Mast cells"	"Developmental progression"	183	186	111	137
"Blood"	"B_M11"	"B_M27"	"Hematopoietic stem cells (Cd34+)"	"T-NK progenitors"	"Developmental progression"	183	200	111	248
"Blood"	"B_M5"	"B_M21"	"Border-associated macrophages"	"Osteoclasts"	"Developmental progression"	203	194	36	183
"Blood"	"B_M11"	"B_M25"	"Hematopoietic stem cells (Cd34+)"	"Regulatory T cells"	"Developmental progression"	183	198	111	213
"Blood"	"B_M15"	"B_M16"	"Megakaryocyte-erythroid progenitors"	"Megakaryocytes"	"Developmental progression"	187	188	138	139
"Blood"	"B_M27"	"B_M20"	"T-NK progenitors"	"Natural killer cells"	"Developmental progression"	200	193	248	165
"Eye"	"Ey_M7"	"Ey_M10"	"Eye field"	"Naive retinal progenitor cells"	"Developmental progression"	106	92	90	163
