"system","x","y","x_name","y_name","edge_type","x_number.x","y_number.x","x_id.x","y_id.x","x_number.y","y_number.y","x_id.y","y_id.y","n_x","median_x","sh_x","q90_x","frac>0_x","variance_x","std_x","n_y","median_y","sh_y","q90_y","frac>0_y","variance_y","std_y","abs_delta","delta","cohens_d","pct_change","abs_pct_change","system_name"
"Gastrulation","Ga_M23","Ga_M11","Hematoendothelial progenitors","Blood progenitors","Developmental progression",39,27,110,35,2598,2978,"Ga_M23","Ga_M11",2598,0,0.0010999914464117,0,0.0161662817551963,0.0001422151864686,0.0119254008934142,2978,0,0.0004122453548242,0,0.0073875083948959,3.89009770780549e-05,0.0062370647806524,0.0006877460915875,-0.0006877460915875,-0.0723,-62.5228581395762,62.5228581395762,"Gastrulation"
"Gastrulation","Ga_M36","Ga_M8","Surface ectoderm","Amniotic ectoderm","Developmental progression",52,24,245,18,2795,524,"Ga_M36","Ga_M8",2795,0,0.0026115682766845,0,0.0314847942754919,0.0003417553695426,0.0184866267756636,524,0,0.0015600084817642,0,0.0305343511450381,0.0001166484469559,0.0108003910556978,0.0010515597949203,-0.0010515597949203,-0.0695,-40.2654529199339,40.2654529199339,"Gastrulation"
"Gastrulation","Ga_M28","Ga_M18","Nascent mesoderm","Extraembryonic mesoderm","Developmental progression",44,34,164,88,5501,3194,"Ga_M28","Ga_M18",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,3194,0,0.0240241077019411,0.112344444444444,0.210081402629931,0.0032573043062573,0.0570727983040727,0.0208015219094589,0.0208015219094589,0.4905,645.491640842763,645.491640842763,"Gastrulation"
"Gastrulation","Ga_M16","Ga_M21","Definitive endoderm","Gut","Developmental progression",32,37,69,108,354,1896,"Ga_M16","Ga_M21",354,0,0.0002605147520401,0,0.0112994350282485,8.46339855217219e-06,0.0029091920789408,1896,0,0.0180522737927801,0.076,0.147679324894515,0.0026614150060001,0.0515889039038448,0.0177917590407399,0.0177917590407399,0.487,6829.46316913222,6829.46316913222,"Gastrulation"
"Gastrulation","Ga_M18","Ga_M22","Extraembryonic mesoderm","Gut mesenchyme","Developmental progression",34,38,88,109,3194,1065,"Ga_M18","Ga_M22",3194,0,0.0240241077019411,0.112344444444444,0.210081402629931,0.0032573043062573,0.0570727983040727,1065,0.0228888888888888,0.0743738132498696,0.215844444444444,0.536150234741784,0.007867894605079,0.0887011533469494,0.0503497055479284,0.0503497055479284,0.6751,209.579919356839,209.579919356839,"Gastrulation"
"Gastrulation","Ga_M23","Ga_M17","Hematoendothelial progenitors","Endothelium","Developmental progression",39,33,110,83,2598,982,"Ga_M23","Ga_M17",2598,0,0.0010999914464117,0,0.0161662817551963,0.0001422151864686,0.0119254008934142,982,0,0.000744512333107,0,0.0091649694501018,9.90138555975057e-05,0.0099505706166785,0.0003554791133047,-0.0003554791133047,-0.0324,-32.316534320728,32.316534320728,"Gastrulation"
"Gastrulation","Ga_M18","Ga_M9","Extraembryonic mesoderm","Amniotic mesoderm","Developmental progression",34,25,88,19,3194,1152,"Ga_M18","Ga_M9",3194,0,0.0240241077019411,0.112344444444444,0.210081402629931,0.0032573043062573,0.0570727983040727,1152,0,0.0083873456790123,0,0.0868055555555555,0.0010742258881464,0.0327753854004252,0.0156367620229287,-0.0156367620229287,-0.336,-65.0877952135777,65.0877952135777,"Gastrulation"
"Gastrulation","Ga_M36","Ga_M14","Surface ectoderm","CLE and NMPs","Developmental progression",52,30,245,42,2795,4992,"Ga_M36","Ga_M14",2795,0,0.0026115682766845,0,0.0314847942754919,0.0003417553695426,0.0184866267756636,4992,0,0.006091635505698,0,0.0586939102564102,0.0009089940649455,0.0301495284365371,0.0034800672290134,0.0034800672290134,0.1392,133.255839415827,133.255839415827,"Gastrulation"
"Gastrulation","Ga_M26","Ga_M9","Lateral plate mesoderm","Amniotic mesoderm","Developmental progression",42,25,128,19,2580,1152,"Ga_M26","Ga_M9",2580,0,0.0180307924203273,0.0815666666666667,0.163178294573643,0.0023549534313269,0.048527862422808,1152,0,0.0083873456790123,0,0.0868055555555555,0.0010742258881464,0.0327753854004252,0.0096434467413149,-0.0096434467413149,-0.2329,-53.4832109233495,53.4832109233495,"Gastrulation"
"Gastrulation","Ga_M26","Ga_M12","Lateral plate mesoderm","Cardiogenic mesoderm","Developmental progression",42,28,128,44,2580,877,"Ga_M26","Ga_M12",2580,0,0.0180307924203273,0.0815666666666667,0.163178294573643,0.0023549534313269,0.048527862422808,877,0,0.0031095907766375,0,0.0319270239452679,0.0004717513083573,0.0217198367479441,0.0149212016436897,-0.0149212016436897,-0.3969,-82.7539982483971,82.7539982483971,"Gastrulation"
