system	x	y	x_name	y_name	edge_type	abs_delta	delta	sh_x	sh_y	x_id	y_id
Blood	B_M5	B_M13	Border-associated macrophages	Kupffer cells	Developmental progression	0.002717	-0.002717	0.007769830191284	0.0050524317296918	203	185
Blood	B_M27	B_M26	T-NK progenitors	T cells	Developmental progression	0.003226	0.003226	0.0138961365363259	0.017122393899583	200	199
Blood	B_M27	B_M25	T-NK progenitors	Regulatory T cells	Developmental progression	0.010094	0.010094	0.0138961365363259	0.0239902040816326	200	198
Blood	B_M5	B_M6	Border-associated macrophages	Border-associated macrophages (Ms4a8a+)	Developmental progression	0.003786	-0.003786	0.007769830191284	0.0039840934684684	203	204
Blood	B_M11	B_M3	Hematopoietic stem cells (Cd34+)	B cell progenitors	Developmental progression	0.013531	0.013531	0.0158012774098601	0.0293317889317889	183	201
Blood	B_M11	B_M15	Hematopoietic stem cells (Cd34+)	Megakaryocyte-erythroid progenitors	Developmental progression	0.010634	0.010634	0.0158012774098601	0.0264352485858886	183	187
Blood	B_M11	B_M22	Hematopoietic stem cells (Cd34+)	Plasmacytoid dendritic cells	Developmental progression	0.00797	0.00797	0.0158012774098601	0.0237710162478554	183	195
Blood	B_M18	B_M7	Monocytes	Conventional dendritic cells	Developmental progression	0.0039	0.0039	0.0056960540901705	0.0095962704301857	190	205
Blood	B_M11	B_M10	Hematopoietic stem cells (Cd34+)	Granulocytes	Developmental progression	0.008355	-0.008355	0.0158012774098601	0.0074462299909156	183	182
Blood	B_M18	B_M2	Monocytes	Adipose tissue macrophages	Developmental progression	0.000126	0.000126	0.0056960540901705	0.0058215857862635	190	192
Blood	B_M11	B_M14	Hematopoietic stem cells (Cd34+)	Mast cells	Developmental progression	0.007292	0.007292	0.0158012774098601	0.023093093093093	183	186
Blood	B_M11	B_M27	Hematopoietic stem cells (Cd34+)	T-NK progenitors	Developmental progression	0.001905	-0.001905	0.0158012774098601	0.0138961365363259	183	200
Blood	B_M5	B_M21	Border-associated macrophages	Osteoclasts	Developmental progression	0.004855	0.004855	0.007769830191284	0.0126250041796234	203	194
Blood	B_M11	B_M25	Hematopoietic stem cells (Cd34+)	Regulatory T cells	Developmental progression	0.008189	0.008189	0.0158012774098601	0.0239902040816326	183	198
Blood	B_M15	B_M16	Megakaryocyte-erythroid progenitors	Megakaryocytes	Developmental progression	0.015633	-0.015633	0.0264352485858886	0.0108026813441308	187	188
Blood	B_M27	B_M20	T-NK progenitors	Natural killer cells	Developmental progression	0.001202	-0.001202	0.0138961365363259	0.0126941723892078	200	193
