system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node
Gastrulation	Ga_M2	268	3.014925373134328	NA	1
Gastrulation	Ga_M20	1429	7.395381385584325	6.6836210170922135	1
Gastrulation	Ga_M21	1896	6.431434599156118	6.468793419121943	1
Gastrulation	Ga_M22	1065	6.949295774647887	6.8294282431793585	1
Gastrulation	Ga_M23	2598	5.57197844495766	5.193701399688958	1
Gastrulation	Ga_M24	1075	7.56	7.582155574502231	1
Gastrulation	Ga_M25	1064	5.9718045112781954	6.10156606889766	1
Gastrulation	Ga_M26	2580	7.1468992248062015	7.21713978623037	1
Gastrulation	Ga_M27	1228	7.493485342019544	7.529891176332029	1
Gastrulation	Ga_M28	5501	2.7562261407016906	2.6762772098503884	1
Gastrulation	Ga_M29	721	7.783633841886269	7.988870339454647	1
Gastrulation	Ga_M3	8894	4.365302451090623	3.615744258079598	1
Gastrulation	Ga_M30	952	5.131302521008403	5.861117705535856	1
Gastrulation	Ga_M31	6185	6.044462409054163	6.140950618952095	1
Gastrulation	Ga_M32	3107	6.832635983263598	6.869166641430419	1
Gastrulation	Ga_M33	6732	6.991532976827094	6.688456082505846	1
Gastrulation	Ga_M34	380	3.892105263157895	5.165441706297738	1
Gastrulation	Ga_M35	2150	7.147906976744186	7.167634860243839	1
Gastrulation	Ga_M36	2795	6.746690518783542	6.800362285749079	1
Gastrulation	Ga_M4	1260	3.15	4.707892666724938	1
Gastrulation	Ga_M5	11315	1.9774635439681842	1.6387485390632022	1
Gastrulation	Ga_M6	7573	2.2544566222104847	1.9218891459611709	1
Gastrulation	Ga_M7	2804	6.56169757489301	6.214629937865465	1
Gastrulation	Ga_M8	524	6.351145038167939	6.441620225635449	1
Gastrulation	Ga_M9	1152	6.6640625	6.057164213431463	1
Gut	G_M1	2265	41.29668874172185	39.73165425646591	1
Gut	G_M10	220	37.804545454545455	37.091896072772954	1
Gut	G_M11	952	35.858193277310924	35.11732789073212	1
Gut	G_M12	254	40.18897637795275	38.18897637795275	1
Gut	G_M13	28164	32.7070728589689	32.63265133352364	1
Gut	G_M14	29802	35.48456479430911	35.538613244641205	1
Gut	G_M15	3480	30.792816091954023	30.44703274453358	1
Gut	G_M16	932	30.266094420600854	30.67649096017743	1
Gut	G_M2	135	38.75555555555555	39.021139931346994	1
Gut	G_M3	5304	41.65742835595777	41.022347613964	1
Gut	G_M4	7181	42.0350926054867	42.318340244969896	1
Gut	G_M5	1066	32.50562851782364	32.90269488630407	1
Gut	G_M6	1660	2.6349397590361447	2.822845131208565	1
Gut	G_M7	3988	33.1993480441324	32.66388047801252	1
Gut	G_M8	21281	7.69362341995207	7.770594416214636	1
Gut	G_M9	156655	33.21736937857074	31.889025501981674	1
Lateral_plate_mesoderm	L_M1	2148	36.0512104283054	36.900019302712344	1
Lateral_plate_mesoderm	L_M10	7825	35.00038338658147	34.67092125373224	1
Lateral_plate_mesoderm	L_M11	4229	15.92504138094112	15.911256511969723	1
Lateral_plate_mesoderm	L_M12	76	38.63157894736842	38.30346045146648	1
Lateral_plate_mesoderm	L_M13	56937	16.55085445316754	17.082057703618695	1
Lateral_plate_mesoderm	L_M14	24510	19.773684210526312	19.5220360259506	1
