system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Gastrulation	Ga_M34	380	3.892105263157895	5.165441706297738	1	0	0	0
Gastrulation	Ga_M35	2150	7.147906976744186	7.167634860243839	1	0	0.35671373611424795	-0.35671373611424795
Gastrulation	Ga_M36	2795	6.746690518783542	6.800362285749079	1	0	0.2539099927477083	-0.2539099927477083
Gastrulation	Ga_M4	1260	3.15	4.707892666724938	1	-0.0238646399954748	0	-0.0238646399954748
Gastrulation	Ga_M5	11315	1.977463543968184	1.6387485390632022	1	-0.00270392260207661	0	-0.00270392260207661
Gastrulation	Ga_M6	7573	2.2544566222104847	1.9218891459611709	1	-0.00961294687486867	0	-0.00961294687486867
Gastrulation	Ga_M7	2804	6.56169757489301	6.214629937865465	1	0	0	0
Gastrulation	Ga_M8	524	6.351145038167939	6.441620225635449	1	0	0	0
Gastrulation	Ga_M9	1152	6.6640625	6.057164213431463	1	0	0	0
Gut	G_M1	2265	41.29668874172185	39.73165425646591	1	-0.07033	-0.009955	-0.060375000000000005
Gut	G_M10	220	37.804545454545455	37.091896072772954	1	9.97e-4	0	9.97e-4
Gut	G_M11	952	35.858193277310924	35.11732789073212	1	-0.001927	0	-0.001927
Gut	G_M12	254	40.18897637795275	38.18897637795275	1	0.028276	0	0.028276
Gut	G_M13	28164	32.7070728589689	32.63265133352364	1	-0.062496	-0.288281	0.225785
Gut	G_M14	29802	35.48456479430911	35.538613244641205	1	-0.147284	-9.299999999999998e-4	-0.146354
Gut	G_M15	3480	30.792816091954023	30.44703274453358	1	-0.119788	0	-0.119788
Gut	G_M16	932	30.266094420600854	30.67649096017743	1	-0.131471	0	-0.131471
Gut	G_M2	135	38.75555555555555	39.021139931346994	1	-0.09024	0	-0.09024
Gut	G_M3	5304	41.65742835595777	41.022347613964	1	-0.059247	0.028276	-0.087523
Gut	G_M4	7181	42.0350926054867	42.318340244969896	1	-0.078419	0	-0.078419
Gut	G_M5	1066	32.50562851782364	32.90269488630407	1	-0.12146099999999999	0	-0.12146099999999999
Gut	G_M6	1660	2.6349397590361447	2.822845131208565	1	0	0	0
Gut	G_M7	3988	33.1993480441324	32.66388047801252	1	-0.133942	0	-0.133942
Gut	G_M8	21281	7.69362341995207	7.770594416214636	1	0.145126807858515	-0.859222	1.004348807858515
Gut	G_M9	156655	33.21736937857074	31.88902550198167	1	-0.135674	0.007106	-0.14278
Lateral_plate_mesoderm	L_M1	2148	36.0512104283054	36.900019302712344	1	-0.001427	0	-0.001427
Lateral_plate_mesoderm	L_M10	7825	35.00038338658147	34.67092125373224	1	-0.128223	0	-0.128223
