system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	median_x	sh_x	q90_x	frac>0_x	variance_x	std_x	n_y	median_y	sh_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	pct_change	abs_pct_change	system_name
Brain_spinal_cord	BS_M23	BS_M21	Hypothalamus (Sim1+)	Hypothalamic Sim1 neurons	Developmental progression	223	221	120	118	14611	1.2230110613505	0.974768751388871	3.47086548487345	0.660119088358086	3.43692666944733	1.8538949995745	19592	-0.493675527572632	0.418549025185062	3.22062137126923	0.283789301755819	3.0366887656294	1.74260975712562	0.55622	-0.55622	-0.3092	-57.06	57.06	Brain_spinal_cord
Brain_spinal_cord	BS_M31	BS_M40	NMPs and spinal cord progenitors	Spinal cord/r7/r8	Developmental progression	232	242	162	234	53734	1.44382136662801	1.38998834093611	4.19160189882914	0.707838612424163	3.90416367557547	1.97589566414208	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	0.554489	-0.554489	-0.2841	-39.89	39.89	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M45	Spinal cord/r7/r8	Spinal dI5 interneurons	Developmental progression	242	247	234	239	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	39157	-0.442739219665527	0.281339034822533	3.16335161972046	0.227392292565825	2.45113457177562	1.56560996795997	0.55416	-0.55416	-0.3156	-66.33	66.33	Brain_spinal_cord
Brain_spinal_cord	BS_M20	BS_M34	Hindbrain	Floorplate and p3 domain	Developmental progression	220	235	115	95	197367	0.608872989018758	0.612983073489076	3.12752704493205	0.518683467854302	3.62182414914149	1.90310907442046	44992	1.36006622314453	1.14427886183572	3.95146764564514	0.679809743954481	3.84498524287439	1.9608633922011	0.531296	0.531296	0.275	86.67	86.67	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M50	Spinal cord/r7/r8	Spinal V2b interneurons	Developmental progression	242	253	234	228	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	8575	-0.471033611297607	0.321952956546083	3.22638844108582	0.243965014577259	2.65087308591622	1.62815020373312	0.513546	-0.513546	-0.2879	-61.47	61.47	Brain_spinal_cord
Brain_spinal_cord	BS_M12	BS_M18	Di/mesencephalon GABAergic neurons	GABAergic neurons (after E13.0)	Developmental progression	211	217	74	100	15589	-0.410898485183716	0.409566898456982	3.27120960712433	0.252806466097889	2.75472623070048	1.65973679560962	292004	-0.588472533226013	-0.0922782792897716	2.46941485595703	0.196254160901905	1.94874350310719	1.39597403382269	0.501845	-0.501845	-0.3272	-122.53	122.53	Brain_spinal_cord
Brain_spinal_cord	BS_M48	BS_M46	Spinal V1 interneurons	Spinal dI6 interneurons	Developmental progression	250	248	226	240	31325	-0.420459642410278	0.812117820330876	3.44573766708374	0.364054269752594	4.17700025579868	2.04377108693676	10964	-0.476502351760864	0.326356064277772	3.10746624183655	0.260488872674207	2.58295484064463	1.6071573789286	0.485762	-0.485762	-0.2642	-59.81	59.81	Brain_spinal_cord
Brain_spinal_cord	BS_M22	BS_M23	Hypothalamus	Hypothalamus (Sim1+)	Developmental progression	222	223	119	120	53378	1.58067977587382	1.44935083100841	3.95776908270518	0.774120424144779	3.1290350072238	1.76890785718867	14611	1.2230110613505	0.974768751388871	3.47086548487345	0.660119088358086	3.43692666944733	1.8538949995745	0.474582	-0.474582	-0.2619	-32.74	32.74	Brain_spinal_cord
Brain_spinal_cord	BS_M25	BS_M12	Midbrain	Di/mesencephalon GABAergic neurons	Developmental progression	225	211	147	74	145124	-0.768415358861287	-0.0572447289290287	2.11055882898966	0.304002094760343	2.67048489764447	1.63416183337039	15589	-0.410898485183716	0.409566898456982	3.27120960712433	0.252806466097889	2.75472623070048	1.65973679560962	0.466812	0.466812	0.2834	-815.47	815.47	Brain_spinal_cord
Brain_spinal_cord	BS_M26	BS_M19	Midbrain dopaminergic neurons	Glutamatergic neurons (after E13.0)	Developmental progression	226	218	148	103	5495	-0.417759990692139	0.319859242384601	3.17430572223663	0.236214740673339	2.5035217014287	1.58225209793784	570526	-0.568314571380615	-0.143774781586842	2.35049537420273	0.175783399880111	1.78316934030527	1.33535363866852	0.463634	-0.463634	-0.3167	-144.95	144.95	Brain_spinal_cord
Brain_spinal_cord	BS_M45	BS_M19	Spinal dI5 interneurons	Glutamatergic neurons (after E13.0)	Developmental progression	247	218	239	103	39157	-0.442739219665527	0.281339034822533	3.16335161972046	0.227392292565825	2.45113457177562	1.56560996795997	570526	-0.568314571380615	-0.143774781586842	2.35049537420273	0.175783399880111	1.78316934030527	1.33535363866852	0.425114	-0.425114	-0.2922	-151.1	151.1	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M35	Spinal cord/r7/r8	Posterior roof plate	Developmental progression	242	236	234	204	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	11623	-0.424403699239095	0.411821283106719	3.27845867093404	0.491009205884883	3.62478649037268	1.90388720526524	0.423678	-0.423678	-0.2212	-50.71	50.71	Brain_spinal_cord
