id	meta_group	celltype_new	system	sh
121	G_M6	Extraembryonic visceral endoderm	Gut	0
122	G_M7	Foregut epithelial cells	Gut	-0.39482615480475
123	G_M8	Gut	Gut	0.0723126358707464
124	G_M9	Hepatocytes	Gut	-0.0276960281738707
125	PG_M1	Melanocyte cells	PNS_glia	-0.461773729679109
126	PG_M2	Myelinating Schwann cells	PNS_glia	-0.751936878177469
127	PG_M3	Myelinating Schwann cells (Tgfb2+)	PNS_glia	-0.0102917807820026
128	PG_M4	Neural crest (PNS glia)	PNS_glia	0.488011988074409
129	PG_M5	Olfactory ensheathing cells	PNS_glia	-0.646812855548003
130	PG_M6	Satellite glial cells	PNS_glia	-0.22503800767636
131	PN_M1	Corticofugal neurons	PNS_neurons	-0.224415443350422
132	PN_M2	Dorsal root ganglion neurons	PNS_neurons	-0.0362981487387061
133	PN_M3	Enteric neurons	PNS_neurons	-0.0046376515490689
134	PN_M4	Neural crest (PNS neurons)	PNS_neurons	0.0264680878047939
135	PN_M5	Olfactory sensory neurons	PNS_neurons	-0.134619599269925
136	PN_M6	Otic sensory neurons	PNS_neurons	0.0473484613663198
137	PN_M7	Parasympathetic neurons	PNS_neurons	0.0634461600090035
138	PN_M8	Sympathetic neurons	PNS_neurons	0.255882414481851
139	R_M1	Anterior intermediate mesoderm	Renal	0.0210079621891874
140	R_M10	Posterior intermediate mesoderm	Renal	0.914683764457703
141	R_M11	Proximal tubule cells	Renal	-1.36926453667289
142	R_M12	Renal pericytes and mesangial cells	Renal	1.78539160172025
143	R_M13	Ureteric bud	Renal	-0.459514664037271
144	R_M14	Ureteric bud stalk	Renal	0.467205285788177
145	R_M2	Ascending loop of Henle	Renal	-1.08998440554418
146	R_M3	Collecting duct intercalated cells	Renal	0.206484669474413
147	R_M4	Collecting duct principal cells	Renal	-0.459850265845145
148	R_M5	Connecting tubule	Renal	-1.32206738715909
149	R_M6	Distal convoluted tubule	Renal	-1.30168058748104
150	R_M7	Metanephric mesenchyme	Renal	0.563035715044212
151	R_M8	Nephron progenitors	Renal	-0.0683825165186172
152	R_M9	Podocytes	Renal	0.151545233903397
153	L_M1	Adrenocortical cells	Lateral_plate_mesoderm	-0.618769319753634
154	L_M10	Gastrointestinal smooth muscle cells	Lateral_plate_mesoderm	0.639323491946699
155	L_M11	Gonad progenitor cells	Lateral_plate_mesoderm	-0.928741059977368
156	L_M12	Granulosa cells	Lateral_plate_mesoderm	-0.580353294434371
157	L_M13	Gut mesenchyme	Lateral_plate_mesoderm	2.6291528565661
158	L_M14	Hepatic mesenchyme	Lateral_plate_mesoderm	0.406452628927978
159	L_M15	Leydig cells	Lateral_plate_mesoderm	0.345150943905318
160	L_M16	Limb mesenchyme progenitors	Lateral_plate_mesoderm	-0.228416827065503
161	L_M17	Lung mesenchyme	Lateral_plate_mesoderm	2.16417561837823
162	L_M18	Meninges	Lateral_plate_mesoderm	-0.991729777376056
163	L_M19	Mesothelial cells	Lateral_plate_mesoderm	-0.525987660279298
164	L_M2	Airway smooth muscle cells	Lateral_plate_mesoderm	-0.599408653000309
165	L_M20	Proepicardium	Lateral_plate_mesoderm	-1.83492816368936
166	L_M21	Renal stromal cells	Lateral_plate_mesoderm	-0.0122729038003645
167	L_M22	Second heart field	Lateral_plate_mesoderm	-0.445736410449985
168	L_M23	Sertoli cells	Lateral_plate_mesoderm	0.0999551110187195
169	L_M24	Somatic mesoderm	Lateral_plate_mesoderm	-0.8757126159725
170	L_M25	Splanchnic mesoderm	Lateral_plate_mesoderm	0.458019686704641
171	L_M26	Vascular smooth muscle cells	Lateral_plate_mesoderm	-1.46019969302363
172	L_M27	Vascular smooth muscle cells (Pparg+)	Lateral_plate_mesoderm	-1.33042256833623
173	L_M28	Ventricular cardiomyocytes	Lateral_plate_mesoderm	-1.24654943047438
174	L_M3	Allantois	Lateral_plate_mesoderm	-0.0080811792288776
175	L_M4	Amniotic mesoderm	Lateral_plate_mesoderm	0
176	L_M5	Atrial cardiomyocytes	Lateral_plate_mesoderm	-1.70267511494979
177	L_M6	Cardiopharyngeal mesoderm	Lateral_plate_mesoderm	0
178	L_M7	Extraembryonic mesoderm	Lateral_plate_mesoderm	0.181382280996618
179	L_M8	First heart field	Lateral_plate_mesoderm	-1.07659319392981
180	L_M9	Foregut mesenchyme	Lateral_plate_mesoderm	2.20204318077633
181	B_M1	Activated T cells	Blood	0
182	B_M10	Granulocytes	Blood	0
183	B_M11	Hematopoietic stem cells (Cd34+)	Blood	0
184	B_M12	Hematopoietic stem cells (Mpo+)	Blood	0
185	B_M13	Kupffer cells	Blood	0
186	B_M14	Mast cells	Blood	0
187	B_M15	Megakaryocyte-erythroid progenitors	Blood	0
188	B_M16	Megakaryocytes	Blood	0
189	B_M17	Microglia	Blood	0
190	B_M18	Monocytes	Blood	0
191	B_M19	Monocytic myeloid-derived suppressor cells	Blood	0
192	B_M2	Adipose tissue macrophages	Blood	0
193	B_M20	Natural killer cells	Blood	0
194	B_M21	Osteoclasts	Blood	0
195	B_M22	Plasmacytoid dendritic cells	Blood	0
196	B_M23	PMN myeloid-derived suppressor cells	Blood	0
197	B_M24	Primitive erythroid cells	Blood	0
198	B_M25	Regulatory T cells	Blood	0
199	B_M26	T cells	Blood	0
200	B_M27	T-NK progenitors	Blood	0
201	B_M3	B cell progenitors	Blood	0
202	B_M4	B cells	Blood	0
203	B_M5	Border-associated macrophages	Blood	0
204	B_M6	Border-associated macrophages (Ms4a8a+)	Blood	0
205	B_M7	Conventional dendritic cells	Blood	0
206	B_M8	Definitive early erythroblasts (CD36-)	Blood	0
207	B_M9	Definitive erythroblasts (CD36+)	Blood	0
208	BS_M1	Anterior floor plate	Brain_spinal_cord	0.254779257345588
209	BS_M10	Cranial motor neurons	Brain_spinal_cord	0.741975281002887
210	BS_M11	Deep-layer neurons	Brain_spinal_cord	-0.310553313727496
211	BS_M12	Di/mesencephalon GABAergic neurons	Brain_spinal_cord	0.409566898456982
212	BS_M13	Di/mesencephalon glutamatergic neurons	Brain_spinal_cord	-0.0622205617657868
213	BS_M14	Diencephalon	Brain_spinal_cord	0.613955905178692
214	BS_M15	Dorsal telencephalon	Brain_spinal_cord	-0.560952057252517
215	BS_M16	Ependymal cells	Brain_spinal_cord	-0.784626097042007
216	BS_M17	GABAergic cortical interneurons	Brain_spinal_cord	0.0748155118136196
217	BS_M18	GABAergic neurons (after E13.0)	Brain_spinal_cord	-0.0922782792897716
218	BS_M19	Glutamatergic neurons (after E13.0)	Brain_spinal_cord	-0.143774781586842
219	BS_M2	Anterior roof plate	Brain_spinal_cord	-0.685141451600798
220	BS_M20	Hindbrain	Brain_spinal_cord	0.612983073489076
221	BS_M21	Hypothalamic Sim1 neurons	Brain_spinal_cord	0.418549025185062
222	BS_M22	Hypothalamus	Brain_spinal_cord	1.44935083100841
223	BS_M23	Hypothalamus (Sim1+)	Brain_spinal_cord	0.974768751388871
224	BS_M24	Intermediate neuronal progenitors	Brain_spinal_cord	-1.19715074438787
225	BS_M25	Midbrain	Brain_spinal_cord	-0.0572447289290287
226	BS_M26	Midbrain dopaminergic neurons	Brain_spinal_cord	0.319859242384601
227	BS_M27	Midbrain-hindbrain boundary	Brain_spinal_cord	0.338853940546311
228	BS_M28	Multiciliated ependymal cells	Brain_spinal_cord	-0.329106597295144
229	BS_M29	Neural progenitor cells (Neurod1+)	Brain_spinal_cord	0.0910395145087029
230	BS_M3	Astrocytes	Brain_spinal_cord	0.445883106371793
231	BS_M30	Neural progenitor cells (Ror1+)	Brain_spinal_cord	-0.576022812472736
232	BS_M31	NMPs and spinal cord progenitors	Brain_spinal_cord	1.38998834093611
233	BS_M32	Neurons (Slc17a8+)	Brain_spinal_cord	0.730495973325348
234	BS_M33	Oligodendrocyte progenitor cells	Brain_spinal_cord	-0.918116330006979
235	BS_M34	Floorplate and p3 domain	Brain_spinal_cord	1.14427886183572
236	BS_M35	Posterior roof plate	Brain_spinal_cord	0.411821283106719
237	BS_M36	Precerebellar neurons	Brain_spinal_cord	0.282199449353789
238	BS_M37	Spinal cord dorsal progenitors (after E13.0)	Brain_spinal_cord	NA
239	BS_M38	Spinal cord motor neurons	Brain_spinal_cord	0.504042346694253
240	BS_M39	Spinal cord ventral progenitors (after E13.0)	Brain_spinal_cord	NA
