system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Brain_spinal_cord,BS_M22,BS_M23,Hypothalamus,Hypothalamus (Sim1+),Developmental progression,222,223,119,120,53378,0.3504828058461221,0.3788475879033406,0.9213724575042728,0.7549739593090786,0.2318122571609972,0.4814688537807998,14611,0.2259043097272479,0.2343886280059814,0.8403410402933756,0.6365751830812402,0.2387000089314739,0.4885693491526806,0.124578,-0.124578,-0.2568,-35.54,35.54
Brain_spinal_cord,BS_M14,BS_M23,Diencephalon,Hypothalamus (Sim1+),Developmental progression,213,223,76,120,78021,0.1054517548543998,-0.0318214035034179,0.777690200805664,0.489252893451763,0.2439180099696658,0.4938805624537838,14611,0.2259043097272479,0.2343886280059814,0.8403410402933756,0.6365751830812402,0.2387000089314739,0.4885693491526806,0.120453,0.120453,0.2452,114.23,114.23
Brain_spinal_cord,BS_M40,BS_M44,Spinal cord/r7/r8,Spinal dI4 interneurons,Developmental progression,242,246,234,238,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,38632,0.0164413868766266,-0.0665151723225911,0.4038823642730714,0.1745703044108511,0.0462138386583404,0.21497404182445,0.120248,-0.120248,-0.3189,-87.97,87.97
Brain_spinal_cord,BS_M40,BS_M42,Spinal cord/r7/r8,Spinal dI2 interneurons,Developmental progression,242,244,234,236,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,21843,0.0192526457188165,-0.0693880462646484,0.4094812593460082,0.1960353431305223,0.0473005585991585,0.2174869159263575,0.117436,-0.117436,-0.3108,-85.92,85.92
Brain_spinal_cord,BS_M54,BS_M17,Telencephalon,GABAergic cortical interneurons,Developmental progression,257,216,249,99,430409,-0.1001094938961106,-0.2848587799072266,0.5164819984436037,0.2724199540437119,0.1868956151073665,0.4323142550360403,603448,0.0159846617257046,-0.0646445433298746,0.3854744075139363,0.177481738277366,0.0483747453311941,0.2199425955361856,0.116094,0.116094,0.3385,-115.97,115.97
Brain_spinal_cord,BS_M48,BS_M46,Spinal V1 interneurons,Spinal dI6 interneurons,Developmental progression,250,248,226,240,31325,0.1639040432265541,-0.0539919026692708,0.6891533406575521,0.3656185155626496,0.1372717602432524,0.3705020381094447,10964,0.0479311992156452,-0.0646219476064046,0.4401972947120667,0.2621306092666909,0.0532402890610501,0.2307385729804407,0.115973,-0.115973,-0.3758,-70.76,70.76
Brain_spinal_cord,BS_M20,BS_M6,Hindbrain,Cerebellum-related cells,Developmental progression,220,260,115,47,197367,0.1030533454270931,-0.0550983460744221,0.7661683985392251,0.4858714982747876,0.2441674421650868,0.4941330207192055,9252,0.2154859401915495,0.110652515888214,0.9987064266204831,0.543450064850843,0.3124652377532234,0.5589859012114915,0.112433,0.112433,0.2131,109.1,109.1
Brain_spinal_cord,BS_M49,BS_M19,Spinal V2a interneurons,Glutamatergic neurons (after E13.0),Developmental progression,251,218,227,103,11065,0.0953653457629104,-0.0640818405151367,0.5644913495381674,0.3111613194758246,0.0868611419168575,0.2947221435807931,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.105312,-0.105312,-0.4298,-110.43,110.43
Brain_spinal_cord,BS_M20,BS_M41,Hindbrain,Spinal dI1 interneurons,Developmental progression,220,243,115,235,197367,0.1030533454270931,-0.0550983460744221,0.7661683985392251,0.4858714982747876,0.2441674421650868,0.4941330207192055,35714,0.0036956946854629,-0.0723034604390462,0.3684990003903707,0.1692613540908327,0.0408371995286804,0.2020821603424717,0.099358,-0.099358,-0.2632,-96.41,96.41
Brain_spinal_cord,BS_M7,BS_M16,Choroid plexus,Ependymal cells,Developmental progression,261,215,51,85,9441,-0.1264288450659944,-0.2324051666259765,0.29756294409434,0.2617307488613494,0.0776908782619834,0.2787308347886602,5895,-0.2249472718581258,-0.2805684153238932,0.0520313536326093,0.121119592875318,0.0423209443357608,0.205720549133432,0.098518,-0.098518,-0.4022,77.92,77.92
Brain_spinal_cord,BS_M40,BS_M45,Spinal cord/r7/r8,Spinal dI5 interneurons,Developmental progression,242,247,234,239,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,39157,0.0390962065526684,-0.0687705357869466,0.4591226062774659,0.2293842735653906,0.0580346560043358,0.2409038314438685,0.097593,-0.097593,-0.2536,-71.4,71.4
Brain_spinal_cord,BS_M20,BS_M3,Hindbrain,Astrocytes,Developmental progression,220,230,115,27,197367,0.1030533454270931,-0.0550983460744221,0.7661683985392251,0.4858714982747876,0.2441674421650868,0.4941330207192055,109750,0.1973013618097942,0.1979304234186808,0.811021277109782,0.5984510250569476,0.2342513997404879,0.4839952476424617,0.094248,0.094248,0.1927,91.46,91.46
Brain_spinal_cord,BS_M40,BS_M50,Spinal cord/r7/r8,Spinal V2b interneurons,Developmental progression,242,253,234,228,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,8575,0.0509963525922235,-0.067084732055664,0.4800317888259888,0.2460641399416909,0.0621245619588345,0.2492479928882769,0.085693,-0.085693,-0.2211,-62.69,62.69
Brain_spinal_cord,BS_M21,BS_M19,Hypothalamic Sim1 neurons,Glutamatergic neurons (after E13.0),Developmental progression,221,218,118,103,19592,0.0757080723496786,-0.0626638666788736,0.5154287988344831,0.2853205389955083,0.074360013041001,0.2726903244359819,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.085655,-0.085655,-0.3693,-113.14,113.14
Brain_spinal_cord,BS_M31,BS_M40,NMPs and spinal cord progenitors,Spinal cord/r7/r8,Developmental progression,232,242,162,234,53734,0.2214577924057263,0.1712047330538431,0.9033720111846936,0.6236461086090743,0.2521915433814776,0.502186761455813,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,0.084769,-0.084769,-0.1712,-38.28,38.28
Brain_spinal_cord,BS_M47,BS_M19,Spinal V0 interneurons,Glutamatergic neurons (after E13.0),Developmental progression,249,218,225,103,9397,0.0743866723853459,-0.0626823361714681,0.5082305908203124,0.2919016707459828,0.0688308350870231,0.2623563132212052,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.084333,-0.084333,-0.3733,-113.37,113.37
