system	celltype_new	total_cells	age_mean	age_weighted
Gastrulation	Primitive streak	7573	13.526739733262907	13.526739733262907
Gastrulation	Anterior primitive streak	893	15.251959686450167	15.251959686450167
Gastrulation	Nascent mesoderm	5501	16.537356844210144	16.537356844210144
Gastrulation	Parietal endoderm	268	18.08955223880597	18.08955223880597
Gastrulation	Embryonic visceral endoderm	1260	18.9	18.9
Gastrulation	Definitive endoderm	354	19.915254237288135	19.915254237288135
Gastrulation	Extraembryonic ectoderm	10351	21.528354748333495	21.528354748333495
Gastrulation	Primordial germ cells	380	23.352631578947367	23.352631578947367
Gastrulation	Extraembryonic visceral endoderm	8894	26.191814706543738	26.191814706543738
Gastrulation	Definitive ectoderm	6516	30.74585635359116	30.74585635359116
Gastrulation	Notochord	952	30.787815126050422	30.78781512605042
Gastrulation	Blood progenitors	2978	31.811282740094022	31.811282740094025
Gastrulation	Hematoendothelial progenitors	2598	33.43187066974596	33.431870669745955
Gastrulation	Extraembryonic mesoderm	3194	34.31308703819662	34.31308703819662
Gastrulation	Cardiopharyngeal mesoderm	2214	35.57181571815718	35.57181571815718
Gastrulation	Intermediate mesoderm	1064	35.830827067669176	35.83082706766917
Gastrulation	Paraxial mesoderm (Tbx6+)	6185	36.26677445432498	36.26677445432498
Gastrulation	Amniotic ectoderm	524	38.10687022900763	38.10687022900763
Gastrulation	Gut	1896	38.58860759493671	38.58860759493671
Gastrulation	CLE and NMPs	4992	39.27524038461539	39.27524038461539
Gastrulation	Allantois	2804	39.37018544935806	39.37018544935806
Gastrulation	Amniotic mesoderm	1152	39.984375	39.984375
Gastrulation	Surface ectoderm	2795	40.48014311270125	40.48014311270125
Gastrulation	Paraxial mesoderm (Tbx6-)	3107	40.995815899581586	40.995815899581586
Gastrulation	Gut mesenchyme	1065	41.695774647887326	41.695774647887326
Gastrulation	Primitive erythroid cells	6732	41.94919786096256	41.94919786096257
Gastrulation	Lateral plate mesoderm	2580	42.88139534883721	42.88139534883721
Gastrulation	Spinal cord	2150	42.88744186046512	42.88744186046512
Gastrulation	Cardiogenic mesoderm	877	43.47776510832383	43.47776510832383
Gastrulation	Endothelium	982	43.75356415478615	43.753564154786154
Gastrulation	Forebrain	1429	44.37228831350595	44.372288313505955
Gastrulation	Floor plate	258	44.651162790697676	44.651162790697676
Gastrulation	Midbrain	1228	44.960912052117266	44.960912052117266
Gastrulation	Hindbrain	1075	45.36	45.36
Gastrulation	Neural crest	721	46.70180305131761	46.70180305131761
Gut	Extraembryonic visceral endoderm	1660	13.44578313253012	13.44578313253012
Gut	Gut	21281	40.72477797096001	40.72477797096001
Gut	Pancreatic islets	932	175.59656652360516	175.59656652360516
Gut	Pancreatic acinar cells	3480	178.75689655172414	178.75689655172414
Gut	Biliary epithelial cells	1066	189.03377110694183	189.03377110694183
Gut	Lung progenitor cells	28164	190.24243715381337	190.24243715381337
Gut	Foregut epithelial cells	3988	193.19608826479438	193.19608826479438
Gut	Hepatocytes	156655	193.30421627142448	193.30421627142445
Gut	Midgut/Hindgut epithelial cells	29802	206.90738876585465	206.90738876585465
Gut	Intestinal goblet cells	952	209.14915966386553	209.14915966386556
Gut	Intestinal enteroendocrine cells	220	220.8272727272727	220.8272727272727
Gut	Airway goblet cells	135	226.53333333333333	226.53333333333333
Gut	Lung cells (Eln+)	254	235.13385826771653	235.13385826771653
Gut	Airway club cells	2265	241.78013245033114	241.7801324503311
Gut	Alveolar Type 1 cells	5304	243.9445701357466	243.9445701357466
Gut	Alveolar Type 2 cells	7181	246.2105556329202	246.2105556329202
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	29.146045929454306	29.146045929454306
Lateral_plate_mesoderm	Second heart field	3537	31.608142493638677	31.608142493638677
Lateral_plate_mesoderm	Allantois	31010	37.013866494679135	37.013866494679135
Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19277	39.60180526015459	39.60180526015459
Lateral_plate_mesoderm	First heart field	28638	40.73454850199036	40.73454850199036
Lateral_plate_mesoderm	Somatic mesoderm	126739	42.15438026179787	42.15438026179787
Lateral_plate_mesoderm	Foregut mesenchyme	17976	56.336782376502	56.336782376502
Lateral_plate_mesoderm	Amniotic mesoderm	25231	60.126986643414845	60.126986643414845
Lateral_plate_mesoderm	Proepicardium	9451	73.34144534969845	73.34144534969845
Lateral_plate_mesoderm	Splanchnic mesoderm	123694	75.95461380503501	75.95461380503501
Lateral_plate_mesoderm	Limb mesenchyme progenitors	222702	80.06552253684296	80.06552253684296
Lateral_plate_mesoderm	Gonad progenitor cells	4229	89.55024828564673	89.55024828564673
Lateral_plate_mesoderm	Gut mesenchyme	56937	93.41914747879235	93.41914747879235
Lateral_plate_mesoderm	Hepatic mesenchyme	24510	112.65997552019584	112.65997552019584
Lateral_plate_mesoderm	Meninges	5063	141.25775232075844	141.25775232075844
Lateral_plate_mesoderm	Mesothelial cells	37131	151.67391128706473	151.67391128706473
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	179.83880597014925	179.83880597014925
Lateral_plate_mesoderm	Lung mesenchyme	60258	186.1941650901125	186.1941650901125
Lateral_plate_mesoderm	Sertoli cells	1220	188.07049180327868	188.07049180327868
Lateral_plate_mesoderm	Vascular smooth muscle cells	15949	193.91861558718415	193.91861558718415
Lateral_plate_mesoderm	Leydig cells	245	203.0938775510204	203.0938775510204
Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	7825	204.00230031948882	204.00230031948882
Lateral_plate_mesoderm	Renal stromal cells	12270	206.5232273838631	206.5232273838631
Lateral_plate_mesoderm	Adrenocortical cells	2148	210.3072625698324	210.3072625698324
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	211.0937880633374	211.0937880633374
Lateral_plate_mesoderm	Ventricular cardiomyocytes	2215	216.1489841986456	216.1489841986456
Lateral_plate_mesoderm	Vascular smooth muscle cells (Pparg+)	7384	220.1489707475623	220.1489707475623
Lateral_plate_mesoderm	Granulosa cells	76	225.78947368421052	225.78947368421052
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	30.549865871833084	30.549865871833084
Mesoderm	Dermomyotome	131041	46.68549537930877	46.68549537930877
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	55.369344229619294	55.369344229619294
Mesoderm	Sclerotome	475696	63.46736571255592	63.46736571255592
Mesoderm	Facial mesenchyme	378403	66.28209607217701	66.28209607217701
Mesoderm	Muscle progenitor cells	26992	83.20843212803794	83.20843212803794
Mesoderm	Chondrocytes (Atp1a2+)	97338	132.20205880539973	132.20205880539973
Mesoderm	Early chondrocytes	130217	139.03189291720744	139.03189291720744
Mesoderm	Dermatome	159301	155.29555997765237	155.29555997765237
Mesoderm	Myofibroblasts	39998	164.56092804640232	164.56092804640232
Mesoderm	Myoblasts	149216	164.72616877546645	164.72616877546645
Mesoderm	Fibroblasts	473634	170.01540429952243	170.01540429952243
Mesoderm	Myotubes	22340	188.9094897045658	188.9094897045658
Mesoderm	Adipocyte progenitor cells	19151	203.78163020207822	203.78163020207822
Mesoderm	Chondrocytes (Otor+)	6521	207.51019782241988	207.51019782241988
Mesoderm	Pre-osteoblasts (Sp7+)	86242	210.29387073583638	210.29387073583638
