index	system	celltype_new	n_cells	mean_scanpy	pct_scanpy_pos
143	Gastrulation	Cardiomyocytes	1206.0	-0.003198384857862015	0.32338308457711445
144	Gastrulation	Caudal Mesoderm	1075.0	-0.007487008556642904	0.26325581395348835
145	Gastrulation	Caudal epiblast	2445.0	-0.019221768270434793	0.2098159509202454
146	Gastrulation	Caudal neurectoderm	948.0	-0.003696084380102757	0.23523206751054854
147	Gastrulation	Def. endoderm	1108.0	0.02629619709384805	0.3348375451263538
148	Gastrulation	Endothelium	1084.0	-0.05375907316731975	0.14760147601476015
149	Gastrulation	Epiblast	14619.0	-0.035316204778017085	0.1437170805116629
150	Gastrulation	Erythroid1	2929.0	-0.02595426784787669	0.16353704335950836
151	Gastrulation	Erythroid2	1106.0	-0.02439481538265993	0.1437613019891501
152	Gastrulation	Erythroid3	2697.0	-0.020516889719572468	0.14238042269187987
153	Gastrulation	ExE ectoderm	11758.0	-0.04503990831919241	0.13692804898792313
154	Gastrulation	ExE endoderm	9339.0	-0.06339260721175868	0.08137916265124746
155	Gastrulation	ExE mesoderm	2571.0	0.05829844648698861	0.48035783741734733
156	Gastrulation	Forebrain/Midbrain/Hindbrain	4854.0	0.01297954536621675	0.2939843428100536
157	Gastrulation	Gut	1940.0	0.06319484664458229	0.5025773195876289
158	Gastrulation	Haematoendothelial progenitors	2733.0	-0.02652863815049431	0.2177094767654592
159	Gastrulation	Intermediate mesoderm	3551.0	0.026255052248672816	0.3658124471979724
160	Gastrulation	Mesenchyme	4979.0	0.11702168984825582	0.614581241213095
161	Gastrulation	Mixed mesoderm	1994.0	0.00870243307659614	0.354062186559679
162	Gastrulation	NMP	2041.0	0.02624010580391072	0.3650171484566389
163	Gastrulation	Nascent mesoderm	5028.0	-0.000866915686297572	0.3162291169451074
164	Gastrulation	Neural crest	622.0	-0.03676806575599346	0.1414790996784566
165	Gastrulation	Notochord	464.0	0.12164617957077907	0.5474137931034483
166	Gastrulation	PGC	392.0	-0.021145083186818	0.17857142857142858
167	Gastrulation	Paraxial mesoderm	3811.0	0.06114400008091797	0.4618210443453162
168	Gastrulation	Parietal endoderm	284.0	-0.04212115609484379	0.09154929577464789
169	Gastrulation	Pharyngeal mesoderm	3086.0	0.06735511629985275	0.5003240440699935
170	Gastrulation	Primitive Streak	7265.0	-0.03796821635112011	0.13599449415003442
171	Gastrulation	Rostral neurectoderm	5392.0	-0.012444887518182414	0.22125370919881307
172	Gastrulation	Somitic mesoderm	2079.0	0.03303299436157684	0.4093314093314093
173	Gastrulation	Spinal cord	1796.0	0.07203718129803414	0.4621380846325167
174	Gastrulation	Surface ectoderm	3523.0	-0.016747477814559996	0.24013624751632132
175	Gastrulation	Visceral endoderm	1283.0	-0.0428294952840376	0.1449727201870616
176	Gut	Airway club cells	6264.0	-0.02064933368808516	0.1837484035759898
177	Gut	Airway goblet cells	408.0	-0.07124785853562011	0.17401960784313725
178	Gut	Alveolar Type 1 cells	14321.0	0.01170996827902531	0.24544375392779832
179	Gut	Alveolar Type 2 cells	21443.0	-0.03725069954274878	0.11859348038987082
180	Gut	Biliary epithelial cells	1742.0	-0.018025106697350777	0.27152698048220436
181	Gut	Extraembryonic visceral endoderm	1660.0	-0.054855312104924135	0.2753012048192771
182	Gut	Foregut epithelial cells	6962.0	-0.05246852639088352	0.2278081011203677
183	Gut	Gut	21287.0	0.3790184085264687	0.7200638887583971
184	Gut	Hepatocytes	289569.0	-0.0261198686920464	0.23921068898949818
185	Gut	Intestinal enteroendocrine cells	536.0	-0.0755823789796426	0.15298507462686567
186	Gut	Intestinal goblet cells	1745.0	-0.08478627498147595	0.14441260744985673
187	Gut	Lung cells (Eln+)	5308.0	0.10151414866274969	0.39920874152223057
188	Gut	Lung progenitor cells	28988.0	0.19075651969765628	0.557886021802125
189	Gut	Midgut/Hindgut epithelial cells	47855.0	-0.07818148354568465	0.17047330477484066
190	Gut	Pancreatic acinar cells	3747.0	0.01863228350853901	0.3482786228983187
