system	celltype_new	total_cells	age_mean	age_weighted
Mesoderm	Chondrocytes (Otor+)	6521	35.58503297040331	35.687872130210415
Mesoderm	Dermatome	159301	26.88259332960873	25.949338494930416
Mesoderm	Dermomyotome	131041	8.742912523561326	8.205510758535159
Mesoderm	Early chondrocytes	130217	24.171982152867898	24.245066490289187
Mesoderm	Facial mesenchyme	378403	12.041289313245407	11.630046069610733
Mesoderm	Fibroblasts	473634	29.335898605252147	29.33469585879672
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	5.868375558867362	5.72946034349573
Mesoderm	Muscle progenitor cells	26992	14.867997925311204	14.589976922364999
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	10.228224038269882	9.445265893202123
Mesoderm	Myoblasts	149216	28.45436146257774	27.661584669391406
Mesoderm	Myofibroblasts	39998	28.426821341067058	28.54295127282206
Mesoderm	Myotubes	22340	32.48491495076097	32.88504503328093
Mesoderm	Pre-osteoblasts (Sp7+)	86242	36.04897845597273	35.67642090980682
Mesoderm	Sclerotome	475696	11.561448908546623	11.561474424979961
Lateral_plate_mesoderm	Adrenocortical cells	2148	36.0512104283054	36.900019302712344
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	36.18229801055623	37.27340487941188
Lateral_plate_mesoderm	Allantois	31010	7.087294421154467	6.712301265585035
Lateral_plate_mesoderm	Amniotic mesoderm	25231	10.97237525266537	10.925758664455167
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	30.97313432835821	31.794130647963218
Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19277	7.512320381802147	7.348912471816769
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	5.6804408671314075	5.663562218737729
Lateral_plate_mesoderm	First heart field	28638	7.737237237237238	7.7070056248826235
Lateral_plate_mesoderm	Foregut mesenchyme	17976	10.387572318647086	10.042277768335419
Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	7825	35.00038338658147	34.67092125373224
Lateral_plate_mesoderm	Gonad progenitor cells	4229	15.92504138094112	15.911256511969722
Lateral_plate_mesoderm	Granulosa cells	76	38.63157894736842	38.30346045146648
Lateral_plate_mesoderm	Gut mesenchyme	56937	16.55085445316754	17.082057703618695
Lateral_plate_mesoderm	Hepatic mesenchyme	24510	19.773684210526312	19.522036025950598
Lateral_plate_mesoderm	Leydig cells	245	34.84897959183674	34.52898647906086
Lateral_plate_mesoderm	Limb mesenchyme progenitors	222702	14.344253756140496	14.654745719678871
Lateral_plate_mesoderm	Lung mesenchyme	60258	32.032360848352084	31.294535269078345
Lateral_plate_mesoderm	Meninges	5063	24.542958720126407	24.51889069349356
Lateral_plate_mesoderm	Mesothelial cells	37131	26.27898521451079	25.322930727149405
Lateral_plate_mesoderm	Proepicardium	9451	13.22304518040419	13.724375238516025
Lateral_plate_mesoderm	Renal stromal cells	12270	35.42053789731052	35.21615256313576
Lateral_plate_mesoderm	Second heart field	3537	6.107152954481199	5.953799803104094
Lateral_plate_mesoderm	Sertoli cells	1220	32.34508196721311	31.474682262202577
Lateral_plate_mesoderm	Somatic mesoderm	126739	7.982696723187019	7.979944291874459
Lateral_plate_mesoderm	Splanchnic mesoderm	123694	13.624104645334452	13.275773400075103
Lateral_plate_mesoderm	Vascular smooth muscle cells	15949	33.31976926453069	32.93732906304407
Lateral_plate_mesoderm	Vascular smooth muscle cells (Pparg+)	7384	37.691495124593715	38.69506664699234
Lateral_plate_mesoderm	Ventricular cardiomyocytes	2215	37.02483069977426	36.889704701059074
PNS_neurons	Corticofugal neurons	1413	34.89101203113942	34.09861469721295
PNS_neurons	Dorsal root ganglion neurons	9289	28.69404672192916	28.80024949484362
PNS_neurons	Enteric neurons	4640	11.76271551724138	11.614483517404102
PNS_neurons	Neural crest (PNS neurons)	50974	13.877251147643896	14.136196248171304
PNS_neurons	Olfactory sensory neurons	20964	29.828038542262927	30.783375483513293
PNS_neurons	Otic sensory neurons	7640	14.053403141361256	13.61523017845056
PNS_neurons	Parasympathetic neurons	5261	32.08154343280745	32.3994158187241
PNS_neurons	Sympathetic neurons	12782	28.83304647160069	28.888460470963196
PNS_glia	Melanocyte cells	2274	27.273526824978013	27.83810461193853
PNS_glia	Myelinating Schwann cells	28658	25.13629702002931	24.998462882869923
PNS_glia	Myelinating Schwann cells (Tgfb2+)	5617	25.415168239273633	25.920356215094483
PNS_glia	Neural crest (PNS glia)	69628	9.652682828747055	8.992216444655273
PNS_glia	Olfactory ensheathing cells	1991	34.24510296333501	35.47856296344024
PNS_glia	Satellite glial cells	4304	31.672165427509295	32.27172019731232
Brain_spinal_cord	Cortical Interneurons (Prox1+)	2800	35.29714285714286	35.18479463113795
Brain_spinal_cord	Cranial motor neurons	20964	15.441900400686892	14.773544870483581
Brain_spinal_cord	Deep-layer neurons	164552	29.526113325878747	29.952184660663292
Brain_spinal_cord	Di/mesencephalon GABAergic neurons	15589	15.46782988004362	15.690882514725661
Brain_spinal_cord	Di/mesencephalon glutamatergic neurons	30999	14.63263331075196	14.629775312087578
Brain_spinal_cord	GABAergic cortical interneurons	380281	28.594389412040037	28.69272972028673
Brain_spinal_cord	GABAergic neurons (after E13.0)	205268	29.148284194321576	28.764396472036335
Brain_spinal_cord	Glutamatergic neurons (after E13.0)	372925	29.548930750150845	29.793430306865584
Brain_spinal_cord	Hypothalamic Sim1 neurons	19592	14.546345447121274	14.678482118936904
Brain_spinal_cord	Midbrain dopaminergic neurons	5495	15.634576888080073	15.504999003062116
Brain_spinal_cord	Neurons (Slc17a8+)	1938	17.978328173374614	17.31352963791685
Brain_spinal_cord	Precerebellar neurons	1286	15.754276827371696	16.080627411453445
Brain_spinal_cord	Spinal V0 interneurons	9397	13.055230392678514	13.291942723529798
Brain_spinal_cord	Spinal V1 interneurons	31325	12.807214684756584	12.452971145526359
Brain_spinal_cord	Spinal V2a interneurons	11065	13.321825576140984	12.63465589192929
Brain_spinal_cord	Spinal V2b interneurons	8575	14.195102040816328	14.285985683502181
Brain_spinal_cord	Spinal V3 interneurons	4440	13.687837837837838	13.53732020595192
Brain_spinal_cord	Spinal cord motor neurons	31602	11.769001961901145	11.872253705719062
Brain_spinal_cord	Spinal dI1 interneurons	35714	13.616284930279445	13.053201404559523
Brain_spinal_cord	Spinal dI2 interneurons	21843	13.045323444581788	12.635771729648868
Brain_spinal_cord	Spinal dI3 interneurons	5430	14.864456721915284	15.356306882271067
Brain_spinal_cord	Spinal dI4 interneurons	38632	15.515013460343758	15.701676994591699
Brain_spinal_cord	Spinal dI5 interneurons	39157	14.471103506397323	14.733480786810656
Brain_spinal_cord	Spinal dI6 interneurons	10964	14.303903684786574	15.111644109689149
Brain_spinal_cord	Striatal projection neurons	6235	9.706335204490776	9.755190183782137
Brain_spinal_cord	Subplate neurons	35716	38.0497816104827	36.48007345462247
Brain_spinal_cord	Upper-layer neurons	96626	36.76237244633949	37.01807338350018
Brain_spinal_cord	Anterior floor plate	16234	12.310582727608724	12.798416559340923
Brain_spinal_cord	Anterior roof plate	16080	8.603047263681592	9.351630788197259
Brain_spinal_cord	Astrocytes	52629	32.779000171008384	31.802626365478215
Brain_spinal_cord	Cajal-Retzius cells	67799	23.989881856664553	23.318396212168512
Brain_spinal_cord	Cerebellar Purkinje cells	21825	24.96898052691867	24.547276763787778
Brain_spinal_cord	Cerebellum-related cells	4226	35.50970184571699	34.72108630364846
Brain_spinal_cord	Choroid plexus	7264	24.31525330396476	23.93547946361678
Brain_spinal_cord	Committed oligodendrocyte precursors	512	39.498046875	39.34878121458656
Brain_spinal_cord	Diencephalon	77273	12.980601244936784	12.468808622406232
Brain_spinal_cord	Dorsal telencephalon	29378	14.87412349377085	15.797142447234531
Brain_spinal_cord	Ependymal cells	2872	37.866991643454035	37.95125814364831
