index	system	celltype_new	n_cells	mean_ucell	pct_ucell_pos
141	Gastrulation	Amniotic mesoderm	1152.0	0.008387345679012342	0.08680555555555555
142	Gastrulation	Anterior primitive streak	893.0	0.0011593878312803276	0.014557670772676373
143	Gastrulation	Blood progenitors	2978.0	0.00041224535482426653	0.007387508394895903
144	Gastrulation	CLE and NMPs	4992.0	0.006091635505698003	0.058693910256410256
145	Gastrulation	Cardiogenic mesoderm	877.0	0.0031095907766375257	0.03192702394526796
146	Gastrulation	Cardiopharyngeal mesoderm	2214.0	0.00998594800762822	0.10569105691056911
147	Gastrulation	Definitive ectoderm	6516.0	0.0031198247049996574	0.0334561080417434
148	Gastrulation	Definitive endoderm	354.0	0.0002605147520401752	0.011299435028248588
149	Gastrulation	Embryonic visceral endoderm	1260.0	0.001008906525573192	0.00873015873015873
150	Gastrulation	Endothelium	982.0	0.0007445123331070374	0.009164969450101833
151	Gastrulation	Epiblast	11315.0	0.0005461285412677367	0.008837825894829872
152	Gastrulation	Extraembryonic ectoderm	10351.0	0.000136562221578162	0.0024152255820693654
153	Gastrulation	Extraembryonic mesoderm	3194.0	0.024024107701941133	0.2100814026299311
154	Gastrulation	Extraembryonic visceral endoderm	8894.0	0.00021376458536341588	0.004834720035979312
155	Gastrulation	Floor plate	258.0	0.0965757967269595	0.5930232558139535
156	Gastrulation	Forebrain	1429.0	0.009211958634631829	0.07557732680195942
157	Gastrulation	Gut	1896.0	0.018052273792780116	0.14767932489451477
158	Gastrulation	Gut mesenchyme	1065.0	0.07437381324986957	0.536150234741784
159	Gastrulation	Hematoendothelial progenitors	2598.0	0.001099991446411769	0.016166281755196306
160	Gastrulation	Hindbrain	1075.0	0.010304392764857877	0.09116279069767441
161	Gastrulation	Intermediate mesoderm	1064.0	0.008915309106098576	0.10150375939849623
162	Gastrulation	Lateral plate mesoderm	2580.0	0.018030792420327298	0.1631782945736434
163	Gastrulation	Midbrain	1228.0	0.0038412956930872224	0.04560260586319218
164	Gastrulation	Nascent mesoderm	5501.0	0.003222585792482173	0.046173423013997454
165	Gastrulation	Neural crest	721.0	0.00027693018955154855	0.008321775312066574
166	Gastrulation	Notochord	952.0	0.03146451914098972	0.23319327731092437
167	Gastrulation	Paraxial mesoderm (Tbx6+)	6185.0	0.006913572262642591	0.07809215844785772
168	Gastrulation	Paraxial mesoderm (Tbx6-)	3107.0	0.016532489360941236	0.14419053749597682
169	Gastrulation	Parietal endoderm	268.0	0.0	0.0
170	Gastrulation	Primitive erythroid cells	6732.0	0.00043049778834092526	0.00920974450386215
