system,node_id,node_name,n_cells,median,mean_scanpy,q90,pct_scanpy,variance,std
Epithelial_cells,Ep_M15,Olfactory pit cells,2081.0,-0.2509631729125977,-0.0854449206935315,0.4373894309997558,0.3613647284959154,0.1527357419540439,0.3908142038795978
Eye,Ey_M7,Eye field,43440.0,-0.2073509788513183,-0.0440680175168317,0.5726026941935222,0.3675644567219153,0.1877348869292879,0.4332838410664399
Eye,Ey_M10,Naive retinal progenitor cells,52693.0,-0.0772586059570312,0.2065259274225056,0.9802705612182618,0.4847133395327652,0.2995951546403851,0.5473528611785866
Eye,Ey_M16,Retinal progenitor cells,10201.0,-0.2108741251627604,-0.0902335611835038,0.4629572852452596,0.2173316341535143,0.1205367539466022,0.3471840346942847
Eye,Ey_M11,Optic stalk,3457.0,-0.0396377372741699,0.0420554981258356,0.5972997315724691,0.4822100086780445,0.1704126058327495,0.4128106173934356
Eye,Ey_M12,Photoreceptor precursor cells,4703.0,-0.1876114273071289,-0.131390885178292,0.0876645520528159,0.1052519668296831,0.0551588258046643,0.2348591616366377
Eye,Ey_M2,Amacrine/Horizontal precursor cells,5154.0,-0.1928549067179362,-0.1452701684166058,0.0267738444010414,0.1020566550252231,0.0459208548224924,0.214291518316737
Eye,Ey_M5,Ciliary margin cells,725.0,-0.246876475016276,-0.1309661811971116,0.3257132987976074,0.2455172413793103,0.1108064618079353,0.3328760457106148
Eye,Ey_M1,Amacrine cells,10061.0,-0.2121529388427734,-0.1736733822235193,-0.0621114222208658,0.0843852499751515,0.035226062357737,0.187686073957918
Eye,Ey_M14,Retinal ganglion cells,11197.0,-0.2876798502604166,-0.2343923535769226,0.014295164744059,0.1060998481736179,0.0356394674544005,0.188784182214508
Gut,G_M8,Gut,21287.0,0.4118598143259684,0.3790184085264687,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518
Gut,G_M13,Lung progenitor cells,28988.0,0.1774877190589904,0.1907565196976562,0.66360733350118,0.557886021802125,0.1280401079380088,0.3578269245571228
Gut,G_M14,Midgut/Hindgut epithelial cells,47855.0,-0.1428548940022786,-0.0781814835456846,0.2283883768717447,0.1704733047748406,0.0408777364793705,0.202182433656761
Gut,G_M9,Hepatocytes,289569.0,-0.1155482228597005,-0.0261198686920464,0.3489141162236532,0.2392106889894981,0.0547823632348763,0.2340563249196149
Gut,G_M3,Alveolar Type 1 cells,14321.0,-0.1071856689453125,0.0117099682790253,0.4961523183186849,0.2454437539277983,0.0775939410472694,0.2785568901450284
Gut,G_M1,Airway club cells,6264.0,-0.1126701164245605,-0.0206493336880851,0.4217642838160195,0.1837484035759898,0.0655397734472827,0.2560073699081391
Mesoderm,M_M18,Sclerotome,476671.0,-0.1197001187006632,0.083815599606748,0.8654795583089192,0.4590923299298677,0.3073536041408291,0.5543948089050159
Mesoderm,M_M12,Muscle progenitor cells,27017.0,-0.2654126739501953,-0.0591014316161688,0.5872856051127117,0.3625124921345819,0.20630027041252,0.4542028956452392
Mesoderm,M_M10,Fibroblasts,648059.0,-0.2562361399332682,-0.0895595056723635,0.5320163968404142,0.2491516976077795,0.2011650997870865,0.4485143250634104
Mesoderm,M_M2,Adipocyte progenitor cells,19823.0,-0.3597457377115885,-0.3018902850249486,-0.0082663167317708,0.097159864803511,0.0502440581333448,0.2241518639970341
Mesoderm,M_M9,Facial mesenchyme,382752.0,-0.2333683776855468,-0.0252228881155952,0.6294777339299521,0.3785244753783128,0.2197193962981239,0.4687423559890059
Mesoderm,M_M7,Dermomyotome,131048.0,-0.2519734700520833,-0.0803761205517386,0.5046973708470662,0.3537177217508088,0.1760442201200343,0.4195762387457544
Mesoderm,M_M14,Myoblasts,185751.0,-0.3244761149088541,-0.2302800236187145,0.2087820021311442,0.1628416536115552,0.0962755930087568,0.3102830852765856
Mesoderm,M_M11,Mesodermal progenitors (Tbx6+),50325.0,-0.0914763943354288,-0.0245923028788872,0.4963022842407226,0.4380725285643318,0.1454313170343565,0.3813545817665713
Mesoderm,M_M4,Chondrocytes (Atp1a2+),118412.0,-0.231036840279897,-0.0408802135528032,0.5968611602783206,0.3481488362665946,0.2002416528140456,0.4474836899977983
Mesoderm,M_M13,Muscle progenitor cells (Prdm1+),5017.0,-0.2561398339271545,-0.1317215259060433,0.3091335614522302,0.2938010763404425,0.0950168246791946,0.3082479921738253
Notochord,No_M1,Notochord,3752.0,0.3264869292577108,0.3342545496233406,0.954887950261434,0.7766524520255863,0.2442417517601168,0.4942082068927192
PNS_glia,PG_M4,Neural crest (PNS glia),70165.0,-0.1439361445109049,0.0437857167046495,0.570945613861084,0.3898524905579705,0.1482636213090031,0.3850501542773397
PNS_glia,PG_M2,Myelinating Schwann cells,35271.0,-0.1644224421183268,-0.0720904448778461,0.3231577078501383,0.2096056250177199,0.064577523179074,0.2541210797613493
PNS_neurons,PN_M4,Neural crest (PNS neurons),51569.0,-0.1070457458496093,0.0161179755538754,0.4198524449666343,0.3000639919331381,0.0667198021129415,0.2583017656016728
PNS_neurons,PN_M5,Olfactory sensory neurons,40019.0,-0.100336799621582,-0.0397200938442468,0.2570225645701093,0.1442314900422299,0.0380893770521874,0.1951649995572656
Renal,R_M10,Posterior intermediate mesoderm,10600.0,-0.1495649655659993,0.0406316870737,0.5597441584269207,0.4137735849056603,0.1367884607423929,0.3698492405594379
Renal,R_M8,Nephron progenitors,20280.0,-0.1549554061889648,-0.0501924591922861,0.3796464082400006,0.2725838264299803,0.0745411313120239,0.27302221761612
Renal,R_M7,Metanephric mesenchyme,29547.0,-0.1354683685302734,0.0013708019250943,0.4849885959625244,0.3433174264730768,0.0979990854076627,0.3130480560675353
Renal,R_M1,Anterior intermediate mesoderm,7846.0,-0.185697218577067,-0.0680901235816573,0.375129607518514,0.2728778995666581,0.0779006783675062,0.2791069299883222
Renal,R_M13,Ureteric bud,5851.0,-0.1649713897705078,-0.0490144061200783,0.3888626988728841,0.277046658690822,0.0818259986336635,0.2860524403560711
Renal,R_M4,Collecting duct principal cells,1895.0,-0.1634653854370117,-0.0888744440697323,0.2655898927052819,0.2390501319261213,0.0558755056373572,0.2363800026173051
Renal,R_M5,Connecting tubule,563.0,-0.1977092997233072,-0.1373267294176236,0.141780179977417,0.1705150976909414,0.0383345438842811,0.1957920935183061
Gastrulation,Ga_M5,Epiblast,14619.0,-0.057542891539244,-0.0353162047780171,0.0721484308932278,0.1437170805116629,0.0048045867199941,0.0693151261990781
Gastrulation,Ga_M28,Nascent mesoderm,5028.0,-0.0533704885733064,-0.0008669156862975,0.1568455148513784,0.3162291169451074,0.0106672904519958,0.1032825757424544
Gastrulation,Ga_M36,Surface ectoderm,3523.0,-0.0575634126444687,-0.01674747781456,0.129987342360384,0.2401362475163213,0.009422289572052,0.0970684787768515
Gastrulation,Ga_M7,Allantois,1820.0,-0.0594274987951897,-0.0068110339543884,0.1563268369106672,0.295054945054945,0.0121696666515529,0.1103162120975558
Gastrulation,Ga_M35,Spinal cord,1796.0,-0.0383932203445155,0.0720371812980341,0.3297354310927538,0.4621380846325167,0.0320404054725483,0.1789983393010905
Lateral_plate_mesoderm,L_M24,Somatic mesoderm,126741.0,-0.3796393330891927,-0.2555818440083859,0.2151742235819499,0.1924949306065125,0.1165233215355453,0.3413551252516143
Lateral_plate_mesoderm,L_M7,Extraembryonic mesoderm,57543.0,-0.2677691141764323,-0.0923274543435164,0.5466817518870041,0.320612411587856,0.1910652027662667,0.4371100579559646
Lateral_plate_mesoderm,L_M25,Splanchnic mesoderm,127703.0,-0.0863272619247436,0.1189645440880556,1.0488540840148928,0.467514467162087,0.384954605868105,0.6204471015873191
Lateral_plate_mesoderm,L_M26,Vascular smooth muscle cells,24161.0,-0.303087666829427,-0.2270296180509595,0.1787106259663899,0.1475518397417325,0.0925086015769202,0.3041522670915346
Lateral_plate_mesoderm,L_M13,Gut mesenchyme,61542.0,0.5680933570861817,0.6268162412046979,1.5799955285390217,0.8008514510415651,0.4737159353899801,0.6882702488049154
Lateral_plate_mesoderm,L_M8,First heart field,28647.0,-0.3152758733431499,-0.2268351291418921,0.186220103263855,0.1904213355674241,0.0837415520217263,0.289381326318279
Lateral_plate_mesoderm,L_M11,Gonad progenitor cells,4598.0,-0.3613633600870768,-0.2619012076672876,0.1671970338821411,0.1668116572422792,0.0890663390156138,0.2984398415352982
Lateral_plate_mesoderm,L_M22,Second heart field,3537.0,-0.253956249554952,-0.0997022899245802,0.4779954751332601,0.309301668080294,0.1798940196665209,0.424139151301222
Blood,B_M9,Definitive erythroblasts (CD36+),92446.0,-0.0147486591339111,-0.003717530398278,0.0,0.0158362719858079,0.0098087002131005,0.0990388823296211
Blood,B_M23,PMN myeloid-derived suppressor cells,15382.0,-0.0595329984029134,-0.0558068342634694,-0.0189791377385457,0.0087114809517618,0.0057130809610288,0.0755849254880151
Blood,B_M1,Activated T cells,6621.0,-0.0755596669514973,-0.0297947386961199,-0.0254071521759033,0.0690228062226249,0.0397177235441743,0.1992930594480759
Blood,B_M17,Microglia,8382.0,-0.0756041876475016,-0.0430267996422233,-0.0183721868197123,0.0617990932951562,0.0235506693290573,0.1534622733086453
Blood,B_M7,Conventional dendritic cells,4582.0,-0.1021280034383138,-0.0671799229205339,-0.0355232308705647,0.0683107813182016,0.0264814939920354,0.1627313552823653
Blood,B_M4,B cells,43057.0,-0.0557407760620117,-0.0075475305069055,0.0,0.0932020345123905,0.0370569058143876,0.1925017034064572
Blood,B_M13,Kupffer cells,33417.0,-0.0795376014709472,-0.0577729128549355,-0.0197973903020222,0.0509321602777029,0.0153584213647694,0.1239290981358675
Blood,B_M6,Border-associated macrophages (Ms4a8a+),4736.0,-0.0787105719248453,-0.0636300352396997,-0.0307591931025187,0.0329391891891891,0.0120284700007886,0.1096743816977722
Blood,B_M22,Plasmacytoid dendritic cells,1101.0,-0.0713870620727539,0.0131808687382454,0.4169811344146729,0.1553133514986376,0.05534868762474,0.2352630179708236
Blood,B_M10,Granulocytes,3547.0,-0.0867665354410807,-0.0540243284015119,-0.0168947381973266,0.0817592331547786,0.0215051368156175,0.1466462983358856
Blood,B_M2,Adipose tissue macrophages,4190.0,-0.090851551691691,-0.0686311051380852,-0.0217317730585734,0.0568019093078758,0.017333559961248,0.1316569783993543
Blood,B_M14,Mast cells,23828.0,-0.0666443125406901,0.0096981945814159,0.3777055818239848,0.1763891220412959,0.0494245022850062,0.2223162213717349
Blood,B_M21,Osteoclasts,3323.0,-0.0991115442911783,-0.0414614146409152,0.221400226910909,0.1808606680710201,0.0329139709870672,0.1814220796569899
