system,node_id,node_name,n_cells,median,mean_ucell,q90,pct_ucell,variance,std
Epithelial_cells,Ep_M16,Otic epithelial cells,29337.0,0.0,0.0504007605109967,0.2209999999999999,0.2798513822135869,0.0097001667791756,0.0984894247073034
Epithelial_cells,Ep_M15,Olfactory pit cells,2081.0,0.0,0.0616816701372203,0.2382222222222222,0.3527150408457472,0.0122007199018056,0.1104568689661516
Eye,Ey_M7,Eye field,43440.0,0.0,0.0837496419071004,0.2996777777777776,0.3788674033149171,0.01744426089787,0.1320767235279176
Eye,Ey_M10,Naive retinal progenitor cells,52693.0,0.0,0.132846308913054,0.3603111111111114,0.482492930749815,0.0286415032203551,0.1692380076116328
Eye,Ey_M16,Retinal progenitor cells,10201.0,0.0,0.0466714374407737,0.2236666666666666,0.2157631604744632,0.0105289937680871,0.102610885231963
Eye,Ey_M11,Optic stalk,3457.0,0.0,0.1002264648217786,0.2994222222222222,0.4787387908591264,0.0172844388966041,0.1314702966323728
Eye,Ey_M12,Photoreceptor precursor cells,4703.0,0.0,0.0217245729676093,0.0615111111111111,0.1037635551775462,0.004613783920803,0.0679248402339159
Eye,Ey_M2,Amacrine/Horizontal precursor cells,5154.0,0.0,0.018701741904885,0.0199444444444443,0.1016686069072565,0.0037761674905743,0.0614505288063032
Eye,Ey_M5,Ciliary margin cells,725.0,0.0,0.0452493486590038,0.1982222222222222,0.2413793103448276,0.0094454569911258,0.0971877409508308
Eye,Ey_M1,Amacrine cells,10061.0,0.0,0.0142520734629868,0.0,0.0834907066891959,0.0027805399293238,0.0527308252289284
Eye,Ey_M14,Retinal ganglion cells,11197.0,0.0,0.0135238307880086,0.0099777777777776,0.1044922747164419,0.0022808240445035,0.0477579736222497
Gastrulation,Ga_M10,Anterior primitive streak,893.0,0.0,0.0011593878312803,0.0,0.0145576707726763,0.0001357495905676,0.0116511626272934
Gastrulation,Ga_M11,Blood progenitors,2978.0,0.0,0.0004122453548242,0.0,0.0073875083948959,3.890097707805488e-05,0.0062370647806524
Gastrulation,Ga_M5,Epiblast,11315.0,0.0,0.0005461285412677,0.0,0.0088378258948298,5.6891390488127416e-05,0.0075426381650008
Gastrulation,Ga_M26,Lateral plate mesoderm,2580.0,0.0,0.0180307924203273,0.0815666666666667,0.1631782945736434,0.0023549534313269,0.048527862422808
Gastrulation,Ga_M31,Paraxial mesoderm (Tbx6+),6185.0,0.0,0.0069135722626425,0.0,0.0780921584478577,0.0008626574927838,0.0293710315240007
Gastrulation,Ga_M3,Extraembryonic visceral endoderm,8894.0,0.0,0.0002137645853634,0.0,0.0048347200359793,1.9082193190675176e-05,0.004368316974611
Gastrulation,Ga_M18,Extraembryonic mesoderm,3194.0,0.0,0.0240241077019411,0.1123444444444445,0.2100814026299311,0.0032573043062573,0.0570727983040727
Gastrulation,Ga_M4,Embryonic visceral endoderm,1260.0,0.0,0.0010089065255731,0.0,0.0087301587301587,0.000196070180174,0.0140025062104624
Gastrulation,Ga_M15,Definitive ectoderm,6516.0,0.0,0.0031198247049996,0.0,0.0334561080417434,0.0004280646843962,0.0206897241256687
Gastrulation,Ga_M13,Cardiopharyngeal mesoderm,2214.0,0.0,0.0099859480076282,0.0101999999999999,0.1056910569105691,0.0012668771545747,0.0355932178170884
Gastrulation,Ga_M14,CLE and NMPs,4992.0,0.0,0.006091635505698,0.0,0.0586939102564102,0.0009089940649455,0.0301495284365371
Gastrulation,Ga_M28,Nascent mesoderm,5501.0,0.0,0.0032225857924821,0.0,0.0461734230139974,0.0003400304824716,0.0184399154681253
Gastrulation,Ga_M24,Hindbrain,1075.0,0.0,0.0103043927648578,0.0,0.0911627906976744,0.0015086130430807,0.0388408682070928
Gastrulation,Ga_M6,Primitive streak,7573.0,0.0,0.0005834176973751,0.0,0.0079228839297504,6.965135490751202e-05,0.0083457387274891
Gastrulation,Ga_M23,Hematoendothelial progenitors,2598.0,0.0,0.0010999914464117,0.0,0.0161662817551963,0.0001422151864686,0.0119254008934142
Gastrulation,Ga_M36,Surface ectoderm,2795.0,0.0,0.0026115682766845,0.0,0.0314847942754919,0.0003417553695426,0.0184866267756636
Gastrulation,Ga_M16,Definitive endoderm,354.0,0.0,0.0002605147520401,0.0,0.0112994350282485,8.463398552172195e-06,0.0029091920789408
Gastrulation,Ga_M9,Amniotic mesoderm,1152.0,0.0,0.0083873456790123,0.0,0.0868055555555555,0.0010742258881464,0.0327753854004252
Gastrulation,Ga_M7,Allantois,2804.0,0.0,0.0045471152322079,0.0,0.0542082738944365,0.0005838386244891,0.0241627528334251
Gastrulation,Ga_M20,Forebrain,1429.0,0.0,0.0092119586346318,0.0,0.0755773268019594,0.0015672469464921,0.0395884698680333
Gastrulation,Ga_M35,Spinal cord,2150.0,0.0,0.015675142118863,0.0439666666666667,0.1293023255813953,0.0024370790749084,0.0493667810871684
Gut,G_M8,Gut,21287.0,0.1754444444444444,0.1631790816512947,0.3268888888888889,0.6573495560670832,0.0210724788645575,0.145163627898167
Gut,G_M13,Lung progenitor cells,28988.0,0.0,0.1006829952624074,0.2954444444444444,0.4826134952394094,0.0156743602670593,0.1251972853821491
Gut,G_M14,Midgut/Hindgut epithelial cells,47855.0,0.0,0.0158948908160066,0.0159555555555553,0.1046494619162052,0.0029861300961631,0.054645494747171
Gut,G_M9,Hepatocytes,289569.0,0.0,0.0275054040084861,0.1383333333333333,0.1748426109148424,0.0048798231867276,0.0698557312375126
Gut,G_M3,Alveolar Type 1 cells,14321.0,0.0,0.0414359875551831,0.2126666666666666,0.2166049856853571,0.0077575963247792,0.0880772179668454
Gut,G_M1,Airway club cells,6264.0,0.0,0.0303532531573719,0.1667555555555554,0.1623563218390804,0.0059353729539749,0.0770413717036171
Lateral_plate_mesoderm,L_M24,Somatic mesoderm,126741.0,0.0,0.0426248394582477,0.1901111111111111,0.2372555053218769,0.0095822527767002,0.0978889818963309
Lateral_plate_mesoderm,L_M25,Splanchnic mesoderm,127703.0,0.0,0.1507177417740991,0.4431111111111111,0.4988371455643172,0.03831283687003,0.1957366518310508
Lateral_plate_mesoderm,L_M26,Vascular smooth muscle cells,24161.0,0.0,0.0327537031671794,0.1577777777777778,0.1679152352965523,0.0077717916465971,0.0881577656624593
Lateral_plate_mesoderm,L_M7,Extraembryonic mesoderm,57543.0,0.0,0.0873044235518559,0.3144444444444444,0.3677945188815321,0.0186431688489618,0.1365399899258887
Lateral_plate_mesoderm,L_M13,Gut mesenchyme,61542.0,0.3114444444444444,0.3036564676697756,0.6128888888888888,0.819960352279744,0.0456408817561297,0.2136372667774274
Lateral_plate_mesoderm,L_M8,First heart field,28647.0,0.0,0.0400722239676056,0.1871555555555557,0.2393618878067511,0.0076418702531702,0.0874177913995211
Lateral_plate_mesoderm,L_M11,Gonad progenitor cells,4598.0,0.0,0.0340977961432506,0.1593666666666669,0.1989995650282731,0.0072704864712388,0.0852671476668406
Lateral_plate_mesoderm,L_M22,Second heart field,3537.0,0.0,0.081937392014576,0.2884888888888888,0.3604749787955895,0.0204394573766848,0.1429666302907248
Mesoderm,M_M18,Sclerotome,476671.0,0.2627351511308391,0.2131999827889339,0.5988163179031918,0.5227546882440929,0.0571365608129446,0.2390325517852005
Mesoderm,M_M12,Muscle progenitor cells,27017.0,0.0,0.1754757432255305,0.5554850982878884,0.4509753118406929,0.0501674073007274,0.2239808190464697
Mesoderm,M_M10,Fibroblasts,648059.0,0.0,0.1049509151472706,0.3121961530331854,0.2902806688897152,0.0344932039624236,0.1857234609908603
Mesoderm,M_M2,Adipocyte progenitor cells,19823.0,0.0,0.0552055848561182,0.2682308180088776,0.2040054482167179,0.012513033236344,0.1118616700945592
Mesoderm,M_M9,Facial mesenchyme,382752.0,0.0,0.1666921636886145,0.3333333333333333,0.4500773346710141,0.0427483215718753,0.2067566723757066
Mesoderm,M_M7,Dermomyotome,131048.0,0.0,0.167724643445085,0.3902346227013525,0.4588013552286185,0.0424073978894966,0.2059305656999382
Mesoderm,M_M14,Myoblasts,185751.0,0.0,0.0770520506242563,0.2974001268230818,0.2310943144316854,0.0234619456179547,0.1531729271704197
Mesoderm,M_M11,Mesodermal progenitors (Tbx6+),50325.0,0.2819699852039737,0.2036535673900664,0.33143098710632,0.5902036761053154,0.0355080978233378,0.1884359249807154
Mesoderm,M_M4,Chondrocytes (Atp1a2+),118412.0,0.0,0.1439179968227897,0.3303741280913126,0.4169509846974968,0.0366965096582614,0.1915633306722907
Mesoderm,M_M13,Muscle progenitor cells (Prdm1+),5017.0,0.0,0.1176740574332199,0.2916930881420418,0.4090093681482958,0.0235815794541287,0.1535629494836847
Notochord,No_M1,Notochord,3752.0,0.3183333333333333,0.2832694859038143,0.4762666666666668,0.8702025586353944,0.0239114792996911,0.1546333705889226
PNS_glia,PG_M4,Neural crest (PNS glia),70165.0,0.0,0.0587415092995083,0.2393333333333333,0.3072614551414523,0.0124671411530882,0.1116563529454916
PNS_glia,PG_M2,Myelinating Schwann cells,35271.0,0.0,0.0264183669933436,0.1264444444444444,0.1609254061410223,0.0051226839475292,0.0715729274763104
PNS_neurons,PN_M4,Neural crest (PNS neurons),51569.0,0.0,0.0325816694353412,0.1561111111111111,0.213131920339739,0.0057865203139419,0.0760691811047148
PNS_neurons,PN_M5,Olfactory sensory neurons,40019.0,0.0,0.0168344453051467,0.0355777777777782,0.1110972288163122,0.0030788303888996,0.0554872092369007
Renal,R_M10,Posterior intermediate mesoderm,10600.0,0.0,0.0642664255765199,0.254,0.3386792452830188,0.0124217910906456,0.1114530891929227
Renal,R_M8,Nephron progenitors,20280.0,0.0,0.0366297830374753,0.182677777777778,0.2161242603550295,0.0067386234834519,0.0820891191538312
Renal,R_M7,Metanephric mesenchyme,29547.0,0.0,0.053189821865728,0.2306666666666667,0.2923139405015738,0.009322051400723,0.0965507711037203
Renal,R_M1,Anterior intermediate mesoderm,7846.0,0.0,0.0340170787662503,0.1664444444444444,0.2074942645934234,0.0063743102906263,0.0798392778688929
Renal,R_M13,Ureteric bud,5851.0,0.0,0.0371302341480088,0.1767777777777778,0.2240642625192274,0.0067392507833447,0.0820929399116921
Renal,R_M4,Collecting duct principal cells,1895.0,0.0,0.0303777777777777,0.1526666666666668,0.1894459102902374,0.0053806734509236,0.0733530739023498
Renal,R_M5,Connecting tubule,563.0,0.0,0.0158192224195776,0.0338,0.1207815275310834,0.0027435961879888,0.0523793488694619
Blood,B_M9,Definitive erythroblasts (CD36+),92446.0,0.0,0.0039714439901251,0.0,0.0157605521060943,0.0010312823537838,0.0321135851904423
Blood,B_M23,PMN myeloid-derived suppressor cells,15382.0,0.0,0.0018243834785246,0.0,0.0086464698998829,0.000418519796109,0.0204577563801361
Blood,B_M1,Activated T cells,6621.0,0.0,0.0147628421352934,0.0,0.0673614257665005,0.0033148966886082,0.0575751395014219
Blood,B_M17,Microglia,8382.0,0.0,0.0088159018001537,0.0,0.0547602004294917,0.0017259274419915,0.0415442829038063
Blood,B_M7,Conventional dendritic cells,4582.0,0.0,0.0095962704301857,0.0,0.0571802706241815,0.0019485258751459,0.044142109998797
Blood,B_M4,B cells,43057.0,0.0,0.014974537628415,0.0,0.0829365724504726,0.0030366934368175,0.0551062014370206
Blood,B_M13,Kupffer cells,33417.0,0.0,0.0050524317296918,0.0,0.0351018942454439,0.0009416371102763,0.0306861061439261
Blood,B_M6,Border-associated macrophages (Ms4a8a+),4736.0,0.0,0.0039840934684684,0.0,0.026393581081081,0.0007576308627331,0.027525095144851
Blood,B_M22,Plasmacytoid dendritic cells,1101.0,0.0,0.0237710162478554,0.1096666666666666,0.1353315168029064,0.0046431068790437,0.0681403469248851
Blood,B_M10,Granulocytes,3547.0,0.0,0.0074462299909156,0.0,0.0532844657457005,0.0013455086380899,0.0366811755276449
Blood,B_M2,Adipose tissue macrophages,4190.0,0.0,0.0058215857862635,0.0,0.0369928400954653,0.0011030829853099,0.033212693135455
Blood,B_M14,Mast cells,23828.0,0.0,0.023093093093093,0.1069999999999999,0.1395417156286721,0.0043420802706989,0.0658944631262665
Blood,B_M21,Osteoclasts,3323.0,0.0,0.0126250041796234,0.0,0.0902798675895275,0.0022656184166791,0.0475985127570084
Blood,B_M16,Megakaryocytes,14777.0,0.0,0.0108026813441308,0.0,0.0793801177505583,0.0018940326034832,0.0435204848718761
Blood,B_M20,Natural killer cells,2961.0,0.0,0.0126941723892078,0.0,0.0732860520094562,0.002553474797901,0.0505319186049866
Brain_spinal_cord,BS_M35,Posterior roof plate,11623.0,0.0,0.1877154593675138,0.5532646048109966,0.4951389486363245,0.047717405826588,0.2184431409465355
Brain_spinal_cord,BS_M18,GABAergic neurons (after E13.0),292004.0,0.0,0.0665618987890793,0.3402996845425867,0.1962541609019054,0.0197554239789605,0.1405539895519174
Brain_spinal_cord,BS_M19,Glutamatergic neurons (after E13.0),570526.0,0.0,0.0596380055049316,0.3272870662460567,0.1757833998801106,0.0180647625616808,0.1344052177621122
Brain_spinal_cord,BS_M53,Subplate neurons,103397.0,0.0,0.0298443689629836,0.0,0.0905538845421047,0.0093228159353381,0.0965547302587403
Brain_spinal_cord,BS_M29,Neural progenitor cells (Neurod1+),23270.0,0.0,0.1503472140449742,0.3239283776451438,0.4369144821658788,0.0349463641262894,0.1869394664758873
Brain_spinal_cord,BS_M28,Multiciliated ependymal cells,10452.0,0.0,0.1327805232778467,0.3172183034906854,0.4428817451205511,0.0260973117280394,0.1615466240069392
Brain_spinal_cord,BS_M8,Committed oligodendrocyte precursors,1865.0,0.0,0.0964004078907364,0.2915536263338759,0.3152815013404825,0.0234708811585121,0.1532020925395998
Brain_spinal_cord,BS_M38,Spinal cord motor neurons,31680.0,0.0,0.1290572822069273,0.419558359621451,0.330239898989899,0.037072849820357,0.1925431115889556
Brain_spinal_cord,BS_M5,Cerebellar Purkinje cells,26737.0,0.0,0.031021598872637,0.2123349611141255,0.1260799640947002,0.0069239282954644,0.0832101453878335
Brain_spinal_cord,BS_M30,Neural progenitor cells (Ror1+),33240.0,0.0,0.0922267155414433,0.297522155905227,0.3057761732851985,0.0221490556764373,0.1488255881105037
Brain_spinal_cord,BS_M4,Cajal-Retzius cells,81803.0,0.0,0.0355346151882381,0.2273105444022432,0.1419263352199797,0.008067572240341,0.0898196651092677
Brain_spinal_cord,BS_M55,Thalamic neuronal precursors,81788.0,0.0,0.0449708244819441,0.2360824742268046,0.1883650413263559,0.0093420852227317,0.0966544630254169
Brain_spinal_cord,BS_M9,Cortical Interneurons (Prox1+),7555.0,0.0,0.03421632528649,0.0,0.0943745863666446,0.0117589416229698,0.1084386537308989
Brain_spinal_cord,BS_M10,Cranial motor neurons,23754.0,0.0,0.1513655578246957,0.4424290220820189,0.3805674833712217,0.0426995447477804,0.2066386816348294
Brain_spinal_cord,BS_M32,Neurons (Slc17a8+),1957.0,0.0,0.1419024403218084,0.4319400630914826,0.3490035769034236,0.0385981529675073,0.1964641264137229
Brain_spinal_cord,BS_M16,Ependymal cells,5895.0,0.0,0.0478373648942709,0.2267317778983542,0.2161153519932145,0.009125786593786,0.0955289830040391
Brain_spinal_cord,BS_M36,Precerebellar neurons,1286.0,0.0,0.0874845460209683,0.3931388012618296,0.2255054432348367,0.0266838220543128,0.163351835172773
Endothelium,En_M12,Venous and capillary endothelial cells,59523.0,0.0,0.0190406602863132,0.0595333333333336,0.1164423836164171,0.0035983151699151,0.0599859581061693
Endothelium,En_M11,Pericytes,14055.0,0.0,0.0609145183604095,0.2495555555555555,0.2839558875844895,0.0148868160711535,0.122011540729365
Endothelium,En_M8,Liver sinusoidal endothelial cells,30802.0,0.0,0.018327244262638,0.0472111111111113,0.1136614505551587,0.0035644572544721,0.0597030757538679
Endothelium,En_M3,Brain pericytes,3617.0,0.0,0.0159403434399287,0.0290444444444444,0.1150124412496544,0.002878944257766,0.053655794260881
Endothelium,En_M4,Endocardial cells,14071.0,0.0,0.0284576868105401,0.1388888888888888,0.1832137019401606,0.0051241905930075,0.0715834519495078
Endothelium,En_M10,Microvascular endothelial cells,5624.0,0.0,0.0209879089615931,0.0809333333333331,0.1274893314366998,0.0039849634007648,0.0631265665212737
Endothelium,En_M6,Glomerular endothelial cells,17038.0,0.0,0.0355606357031993,0.1779555555555557,0.1689752318347223,0.0089062392478991,0.0943728734748449
Endothelium,En_M9,Lymphatic vessel endothelial cells,25269.0,0.0,0.0386245817228839,0.1945555555555556,0.2194388381020222,0.0069543606561586,0.083392809379218
